shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
hihokenshaNo,varchar,RString,,,,,被保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
shikakuShutokuJiyuCode,varchar,RString,,,,,資格取得事由コード,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,資格取得年月日,A
shikakuShutokuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,資格取得届出年月日,A
ichigoShikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,第1号資格取得年月日,A
hihokennshaKubunCode,varchar,RString,,,,,被保険者区分コード,A
shikakuSoshitsuJiyuCode,varchar,RString,,,,,資格喪失事由コード,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,資格喪失年月日,A
shikakuSoshitsuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,資格喪失届出年月日,A
jushochiTokureiFlag,varchar,RString,,,,,住所地特例フラグ,A
