shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
rirekiNo,int2,int,,,,,履歴番号,A
tekiyoJogaiTekiyoJiyuCode,varchar,RString,,,,,適用除外適用事由コード,A
tekiyoYMD,UDD015YMD,FlexibleDate,,,,,適用年月日,A
tekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,適用届出年月日,A
tekiyoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,適用受付年月日,A
tekiyoJogaikaijokaijoJiyuCode,varchar,RString,,,,,適用除外解除事由コード,A
kaijoYMD,UDD015YMD,FlexibleDate,,,,,解除年月日,A
kaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,解除届出年月日,A
kaijoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,解除受付年月日,A
