shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
rirekiNo,int2,int,,,,,履歴番号,A
tekiyoJiyuCode,varchar,RString,,,,,他市町村住所地特例適用事由コード,A
tekiyoYMD,UDD015YMD,FlexibleDate,,,,,適用年月日,A
tekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,適用届出年月日,A
tekiyoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,適用受付年月日,A
kaijoJiyuCode,varchar,RString,,,,,他市町村住所地特例解除事由コード,A
kaijoYMD,UDD015YMD,FlexibleDate,,,,,解除年月日,A
kaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,解除届出年月日,A
kaijoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,解除受付年月日,A
sochiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,措置保険者番号,A
sochiHihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,措置被保険者番号,A
