shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
rirekiNo,int2,int,,,,,履歴番号,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
iryoHokenShubetsuCode,varchar,RString,,,,,医療保険種別コード,A
iryoHokenshaNo,varchar,RString,,,,,医療保険者番号,A
iryoHokenshaMeisho,varchar,RString,,,,,医療保険者名称,A
iryoHokenKigoNo,varchar,RString,,,,,医療保険記号番号,A
iryoHokenKanyuYMD,UDD015YMD,FlexibleDate,,,,,医療保険加入年月日,A
iryoHokenDattaiYMD,UDD015YMD,FlexibleDate,,,,,医療保険脱退年月日,A
