jigyoshaShubetsu,varchar,RString,,,,,事業者種別,A
jigyoshaNo,varchar,RString,,,,,事業者番号,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,有効開始年月日,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,有効終了年月日,A
kannaiKangaiKubun,bpchar,RString,,,,,管内・管外区分,A
jigyoshaMeisho,UDD042AtenaMeisho,AtenaMeisho,,,,,事業者名称,A
jigyoshaKanaMeisho,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,事業者名称カナ,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jigyoshaJusho,varchar,RString,,,,,事業者住所,A
jigyoshaKanaJusho,varchar,RString,,,,,事業者住所カナ,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
faxNo,UDD026TelNo,TelNo,,,,,FAX番号,A
idoJiyuCode,varchar,RString,,,,,異動事由,A
idoYMD,UDD015YMD,FlexibleDate,,,,,異動年月日,A
daihyoshaMeisho,UDD042AtenaMeisho,AtenaMeisho,,,,,代表者名称,A
daihyoshaKanaMeisho,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,代表者名称カナ,A
yakushoku,varchar,RString,,,,,役職,A
biko,varchar,RString,,,,,備考,A
jigyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,事業開始年月日,A
jigyoKyushiYMD,UDD015YMD,FlexibleDate,,,,,事業休止年月日,A
jigyoHaishiYMD,UDD015YMD,FlexibleDate,,,,,事業廃止年月日,A
jigyoSaikaiYMD,UDD015YMD,FlexibleDate,,,,,事業再開年月日,A
