choteiNendo,UDD012YSeireki,FlexibleYear,,,,,調定年度,A
fukaNendo,UDD012YSeireki,FlexibleYear,,,,,賦課年度,A
tsuchishoNo,DbUDD008TsuchishoNo,TsuchishoNo,,,,,通知書番号,A
koseiZengoKubun,varchar,RString,,,,,更正前後区分,A
sakuseiShoriName,varchar,RString,,,,,作成処理名,A
fukaRirekiNo,int2,int,,,,,賦課履歴番号,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
setaiCode,UDD051SetaiCode,SetaiCode,,,,,世帯コード,A
setaiInsu,int2,int,,,,,世帯員数,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,資格取得日,A
shikakuShutokuJiyu,varchar,RString,,,,,資格取得事由,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,資格喪失日,A
shikakuSoshitsuJiyu,varchar,RString,,,,,資格喪失事由,A
seihofujoShurui,varchar,RString,,,,,生活保護扶助種類,A
seihoKaishiYMD,UDD015YMD,FlexibleDate,,,,,生保開始日,A
seihoHaishiYMD,UDD015YMD,FlexibleDate,,,,,生保廃止日,A
ronenKaishiYMD,UDD015YMD,FlexibleDate,,,,,老齢開始日,A
ronenHaishiYMD,UDD015YMD,FlexibleDate,,,,,老齢廃止日,A
fukaYMD,UDD015YMD,FlexibleDate,,,,,賦課期日,A
kazeiKubun,varchar,RString,,,,,課税区分,A
setaikazeiKubun,varchar,RString,,,,,世帯課税区分,A
gokeiShotokuGaku,numeric,Decimal,,,,,合計所得金額,A
nenkinShunyuGaku,numeric,Decimal,,,,,公的年金収入額,A
hokenryoDankai,varchar,RString,,,,,保険料段階,A
hokenryoDankai1,varchar,RString,,,,,保険料算定段階1,A
nengakuHokenryo1,numeric,Decimal,,,,,算定年額保険料1,A
tsukiwariStartYM1,UDD015YMD,FlexibleDate,,,,,月割開始年月1,A
tsukiwariEndYM1,UDD015YMD,FlexibleDate,,,,,月割終了年月1,A
hokenryoDankai2,varchar,RString,,,,,保険料算定段階2,A
nengakuHokenryo2,numeric,Decimal,,,,,算定年額保険料2,A
tsukiwariStartYM2,UDD015YMD,FlexibleDate,,,,,月割開始年月2,A
tsukiwariEndYM2,UDD015YMD,FlexibleDate,,,,,月割終了年月2,A
choteiNichiji,UDD018YMDHMS,YMDHMS,,,,,調定日時,A
choteiJiyu1,varchar,RString,,,,,調定事由1,A
choteiJiyu2,varchar,RString,,,,,調定事由2,A
choteiJiyu3,varchar,RString,,,,,調定事由3,A
choteiJiyu4,varchar,RString,,,,,調定事由4,A
koseiM,varchar,RString,,,,,更正月,A
gemmenMaeHokenryo,numeric,Decimal,,,,,減免前介護保険料（年額）,A
gemmenGaku,numeric,Decimal,,,,,減免額,A
kakuteiHokenryo,numeric,Decimal,,,,,確定介護保険料（年額）,A
hokenryoDankaiKarisanntei,varchar,RString,,,,,保険料段階（仮算定時）,A
