hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
kijunYMD,UDD015YMD,FlexibleDate,,,,,基準年月日,A
shotokuNendo,UDD012YSeireki,FlexibleYear,,,,,所得年度,A
jushochiTokureiFlag,varchar,RString,,,,,住所地特例該当,A
setaiCode,UDD051SetaiCode,SetaiCode,,,,,世帯コード,A
honninKubun,varchar,RString,,,,,本人区分,A
kazeiKubun,varchar,RString,,,,,課税区分（住民税減免前）,A
kazeiKubunGemmenGo,varchar,RString,,,,,課税区分（住民税減免後）,A
gekihenKanwaKubun,varchar,RString,,,,,激変緩和措置区分,A
gokeiShotokuGaku,numeric,Decimal,,,,,合計所得金額,A
nenkiniShunyuGaku,numeric,Decimal,,,,,年金収入額,A
nenkiniShotokuGaku,numeric,Decimal,,,,,年金所得額,A
kazeiShotokuGaku,numeric,Decimal,,,,,課税所得額,A
torokuGyomu,varchar,RString,,,,,登録業務,A
