fukaNendo,UDD012YSeireki,FlexibleYear,,,,,fukaNendo,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,hihokenshaNo,A
rirekiNo,int2,int,,,,,rirekiNo,A
choshuHoho4gatsu,varchar,RString,,,,,choshuHoho4gatsu,A
choshuHoho5gatsu,varchar,RString,,,,,choshuHoho5gatsu,A
choshuHoho6gatsu,varchar,RString,,,,,choshuHoho6gatsu,A
choshuHoho7gatsu,varchar,RString,,,,,choshuHoho7gatsu,A
choshuHoho8gatsu,varchar,RString,,,,,choshuHoho8gatsu,A
choshuHoho9gatsu,varchar,RString,,,,,choshuHoho9gatsu,A
choshuHoho10gatsu,varchar,RString,,,,,choshuHoho10gatsu,A
choshuHoho11gatsu,varchar,RString,,,,,choshuHoho11gatsu,A
choshuHoho12gatsu,varchar,RString,,,,,choshuHoho12gatsu,A
choshuHoho1gatsu,varchar,RString,,,,,choshuHoho1gatsu,A
choshuHoho2gatsu,varchar,RString,,,,,choshuHoho2gatsu,A
choshuHoho3gatsu,varchar,RString,,,,,choshuHoho3gatsu,A
choshuHohoYoku4gatsu,varchar,RString,,,,,choshuHohoYoku4gatsu,A
choshuHohoYoku5gatsu,varchar,RString,,,,,choshuHohoYoku5gatsu,A
choshuHohoYoku6gatsu,varchar,RString,,,,,choshuHohoYoku6gatsu,A
choshuHohoYoku7gatsu,varchar,RString,,,,,choshuHohoYoku7gatsu,A
choshuHohoYoku8gatsu,varchar,RString,,,,,choshuHohoYoku8gatsu,A
choshuHohoYoku9gatsu,varchar,RString,,,,,choshuHohoYoku9gatsu,A
kariNenkinNo,varchar,RString,,,,,kariNenkinNo,A
kariNenkinCode,varchar,RString,,,,,kariNenkinCode,A
kariHosokuM,varchar,RString,,,,,kariHosokuM,A
honNenkinNo,varchar,RString,,,,,honNenkinNo,A
honNenkinCode,varchar,RString,,,,,honNenkinCode,A
honHosokuM,varchar,RString,,,,,honHosokuM,A
yokunendoKariNenkinNo,varchar,RString,,,,,yokunendoKariNenkinNo,A
yokunendoKariNenkinCode,varchar,RString,,,,,yokunendoKariNenkinCode,A
yokunendoKariHosokuM,varchar,RString,,,,,yokunendoKariHosokuM,A
iraiSohuzumiFlag,bool,boolean,,,,,iraiSohuzumiFlag,A
tsuikaIraiSohuzumiFlag,bool,boolean,,,,,tsuikaIraiSohuzumiFlag,A
tokuchoTeishiNichiji,UDD018YMDHMS,YMDHMS,,,,,tokuchoTeishiNichiji,A
tokuchoTeishiJiyuCode,varchar,RString,,,,,tokuchoTeishiJiyuCode,A
