kokanShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,RString,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
kyufuSakuseiKubunCode,varchar,RString,,,,,A
hokenshaNo,DbUDD003HokenshaNo,ShoKisaiHokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,KaigoHihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
kyufuJissekiKubunCode,varchar,RString,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,A
toshiNo,varchar,ToshiNo,,,,,A
kohi1FutanshaNo,varchar,RString,,,,,A
kohi1JukyushaNo,varchar,RString,,,,,A
kohi2FutanshaNo,varchar,RString,,,,,A
kohi2JukyushaNo,varchar,RString,,,,,A
kohi3FutanshaNo,varchar,RString,,,,,A
kohi3JukyushaNo,varchar,RString,,,,,A
umareYMD,UDD015YMD,FlexibleDate,,,,,A
seibetsuCode,varchar,RString,,,,,A
yoKaigoJotaiKubunCode,varchar,RString,,,,,A
kyuSochiNyushoshaTokureiCode,varchar,RString,,,,,A
ninteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
rojinHokenShichosonNo,varchar,RString,,,,,A
rojinhokenJukyushaNo,varchar,RString,,,,,A
kokiHokenshaNo,varchar,RString,,,,,A
kokiHiHokenshaNo,varchar,RString,,,,,A
kokuhoHokenshaNo,varchar,RString,,,,,A
kokuhoHiHokenshashoNo,varchar,RString,,,,,A
kokuhoKojinNo,varchar,RString,,,,,A
kyotakuServiceSakuseiKubunCode,varchar,RString,,,,,A
kyotakuKaigoShienJigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,A
kaishiYMD,UDD015YMD,FlexibleDate,,,,,A
chushiYMD,UDD015YMD,FlexibleDate,,,,,A
chushiRiyuNyushomaeJyokyoCode,varchar,RString,,,,,A
nyushoYMD,UDD015YMD,FlexibleDate,,,,,A
taishoYMD,UDD015YMD,FlexibleDate,,,,,A
nyushoJitsunissu,int2,Integer,,,,,A
gaihakuNissu,int2,Integer,,,,,A
taishogoJotaiCode,varchar,RString,,,,,A
hokenKyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,A
kohi1Kyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,A
kohi2Kyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,A
kohi3Kyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,A
maeHokenServiceTanisu,int4,Decimal,,,,,A
maeHokenSeikyugaku,numeric,Decimal,,,,,A
maeHokenRiyoshaFutangaku,int4,Decimal,,,,,A
maeHokenKinkyuShisetsuRyoyoSeikyugaku,numeric,Decimal,,,,,A
maeHokenTokuteiShinryohiSeikyugaku,numeric,Decimal,,,,,A
maeHokenTokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
maeKohi1ServiceTanisu,int4,Decimal,,,,,A
maeKohi1Seikyugaku,int4,Decimal,,,,,A
maeKohi1RiyoshaFutangaku,int4,Decimal,,,,,A
maeKohi1KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,A
maeKohi1TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,A
maeKohi1TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
maeKohi2ServiceTanisu,int4,Decimal,,,,,A
maeKohi2Seikyugaku,int4,Decimal,,,,,A
maeKohi2RiyoshaFutangaku,int4,Decimal,,,,,A
maeKohi2KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,A
maeKohi2TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,A
maeKohi2TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
maeKohi3ServiceTanisu,int4,Decimal,,,,,A
maeKohi3Seikyugaku,int4,Decimal,,,,,A
maeKohi3RiyoshaFutangaku,int4,Decimal,,,,,A
maeKohi3KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,A
maeKohi3TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,A
maeKohi3TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
atoHokenServiceTanisu,int4,Decimal,,,,,A
atoHokenSeikyugaku,numeric,Decimal,,,,,A
atoHokenRiyoshaFutangaku,int4,Decimal,,,,,A
atoHokenKinkyuShisetsuRyoyoSeikyugaku,numeric,Decimal,,,,,A
atoHokenTokuteiShinryohiSeikyugaku,numeric,Decimal,,,,,A
atoHokenTokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
atoKohi1ServiceTanisu,int4,Decimal,,,,,A
atoKohi1Seikyugaku,int4,Decimal,,,,,A
atoKohi1RiyoshaFutangaku,int4,Decimal,,,,,A
atoKohi1KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,A
atoKohi1TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,A
atoKohi1TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
atoKohi2ServiceTanisu,int4,Decimal,,,,,A
atoKohi2Seikyugaku,int4,Decimal,,,,,A
atoKohi2RiyoshaFutangaku,int4,Decimal,,,,,A
atoKohi2KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,A
atoKohi2TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,A
atoKohi2TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
atoKohi3ServiceTanisu,int4,Decimal,,,,,A
atoKohi3Seikyugaku,int4,Decimal,,,,,A
atoKohi3RiyoshaFutangaku,int4,Decimal,,,,,A
atoKohi3KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,A
atoKohi3TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,A
atoKohi3TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,A
keikaiKubunCode,varchar,RString,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
dokujiSakuseiKubun,varchar,RString,,,,,A
hokenshaHoyuKyufujissekiJohoSakujoFlag,bool,boolean,,,,,A
