kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,RString,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,ShoKisaiHokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,KaigoHihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,A
toshiNo,varchar,ToshiNo,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,ServiceKomokuCode,,,,,A
tanisu,int2,Decimal,,,,,A
nissuKaisu,int2,Integer,,,,,A
kohi1TaishoNissuKaisu,int2,Integer,,,,,A
kohi2TaishoNissuKaisu,int2,Integer,,,,,A
kohi3TaishoNissuKaisu,int2,Integer,,,,,A
serviceTanisu,int4,Decimal,,,,,A
kohi1TaishoServiceTanisu,int4,Decimal,,,,,A
kohi2TaishoServiceTanisu,int4,Decimal,,,,,A
kohi3TaishoServiceTanisu,int4,Decimal,,,,,A
tekiyo,varchar,RString,,,,,A
atoTanisu,int2,Decimal,,,,,A
atoNissuKaisu,int2,Integer,,,,,A
atoKohi1TaishoNissuKaisu,int2,Integer,,,,,A
atoKohi2TaishoNissukaisu,int2,Integer,,,,,A
atoKohi3TaishoNissuKaisu,int2,Integer,,,,,A
atoServiceTanisu,int4,Decimal,,,,,A
atoKohi1TaishoServiceTanisu,int4,Decimal,,,,,A
atoKohi2TaishoServiceTanisu,int4,Decimal,,,,,A
atoKohi3TaishoServiceTanisu,int4,Decimal,,,,,A
saishinsaKaisu,int2,Integer,,,,,A
kagoKaisu,int2,Integer,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
