kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,RString,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,ShoKisaiHokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,KaigoHihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,A
toshiNo,varchar,ToshiNo,,,,,A
serviceSyuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,A
serviceJitsunissu,int2,Integer,,,,,A
planTanisu,int4,Decimal,,,,,A
gendogakuKanriTaishoTanisu,int4,Decimal,,,,,A
gendogakuKanritaishogaiTanisu,int4,Decimal,,,,,A
tankiNyushoPlanNissu,int2,Integer,,,,,A
tankiNyushoJitsunissu,int2,Integer,,,,,A
hokenTanisuTotal,int4,Decimal,,,,,A
hokenTanisuTani,numeric,Decimal,,,,,A
hokenSeikyugaku,varchar,Decimal,,,,,A
hokenRiyoshaFutangaku,int4,Decimal,,,,,A
kohi1TanisuTotal,int4,Decimal,,,,,A
kohi1Seikyugaku,varchar,Decimal,,,,,A
kohi1HonninFutangaku,int4,Decimal,,,,,A
kohi2TanisuTotal,int4,Decimal,,,,,A
kohi2Seikyugaku,varchar,Decimal,,,,,A
kohi2HonninFutangaku,int4,Decimal,,,,,A
kohi3TanisuTotal,int4,Decimal,,,,,A
kohi3Seikyugaku,varchar,Decimal,,,,,A
kohi3HonninFutangaku,int4,Decimal,,,,,A
hokenDekidakaTanisuTotal,int4,Decimal,,,,,A
hokenDekidakaSeikyugaku,varchar,Decimal,,,,,A
hokenDekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,A
kohi1DekidakaTanisuTotal,int4,Decimal,,,,,A
kohi1DekidakaSeikyugaku,varchar,Decimal,,,,,A
kohi1DekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,A
kohi2DekidakaTanisuTotal,int4,Decimal,,,,,A
kohi2DekidakaSeikyugaku,varchar,Decimal,,,,,A
kohi2DekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,A
kohi3DekidakaTanisuTotal,int4,Decimal,,,,,A
kohi3DekidakaSeikyugaku,varchar,Decimal,,,,,A
kohi3DekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,A
atoTankiNyushoJitsunissu,int4,Integer,,,,,A
atoHokenTanisuTotal,int4,Decimal,,,,,A
atoHokenSeikyugaku,varchar,Decimal,,,,,A
atoKohi1TanisuTotal,int4,Decimal,,,,,A
atoKohi1Seikyugaku,varchar,Decimal,,,,,A
atoKohi2TanisuTotal,int4,Decimal,,,,,A
atoKohi2Seikyugaku,varchar,Decimal,,,,,A
atoKohi3TanisuTotal,int4,Decimal,,,,,A
atoKohi3Seikyugaku,varchar,Decimal,,,,,A
atoHokenDekidakaTanisuTotal,int4,Decimal,,,,,A
atoHokenDekidakaSeikyugaku,varchar,Decimal,,,,,A
atoKohi1DekidakaTanisuTotal,int4,Decimal,,,,,A
atoKohi1DekidakaSeikyugaku,varchar,Decimal,,,,,A
atoKohi2DekidakaTanisuTotal,int4,Decimal,,,,,A
atoKohi2DekidakaSeikyugaku,varchar,Decimal,,,,,A
atoKohi3DekidakaTanisuTotal,int4,Decimal,,,,,A
atoKohi3DekidakaSeikyugaku,varchar,Decimal,,,,,A
saishinsaKaisu,int4,Integer,,,,,A
kagoKaisu,int4,Integer,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
