hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
jigyoshaNameKanji,varchar,RString,,,,,事業者名称,A
jigyoshaNameKana,varchar,RString,,,,,事業者名称カナ,A
jigyoshaYubunNo,UDD003YubinNo,YubinNo,,,,,事業者郵便番号,A
jigyoshaAddress,varchar,RString,,,,,事業者住所,A
jigyoshaTelNo,varchar,RString,,,,,事業者電話番号,A
jigyoshaFaxNo,varchar,RString,,,,,事業者ＦＡＸ番号,A
riyushoSakuseishaKanji,varchar,RString,,,,,理由書作成者,A
riyushoSakuseishaKana,varchar,RString,,,,,理由書作成者カナ,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
keiyakuKetteiYMD,UDD015YMD,FlexibleDate,,,,,契約決定年月日,A
shoninKubun,varchar,RString,,,,,承認区分,A
fushoninRiyu,varchar,RString,,,,,不承認の理由,A
kyufugakuHiyogakuTotal,int4,int,,,,,給付額等・費用額合計,A
kyufugakuHokenTaishoHiyogaku,int4,int,,,,,給付額等・保険対象費用額,A
kyufugakuRiyoshaJikofutangaku,int4,int,,,,,給付額等・利用者自己負担額,A
kyufugakuHokenkyufuhigaku,int4,int,,,,,給付額等・保険給付費額,A
sekoKanryoYoteiYMD,UDD015YMD,FlexibleDate,,,,,施工完了予定年月日,A
shinseiTorikeshiJiyuCode,varchar,RString,,,,,申請取消事由コード,A
biko,varchar,RString,,,,,備考,A
