jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
rirekiNo,int2,int,,,,,履歴番号,A
moshitateYMD,UDD015YMD,FlexibleDate,,,,,申立年月日,A
moshitateshaKubunCode,varchar,RString,,,,,申立者区分コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
moshitateJiyuCode,varchar,RString,,,,,申立事由コード,A
kokuhorenSofuYM,UDD014YM,FlexibleYearMonth,,,,,国保連送付年月,A
kokuhirenSaiSofuAriFlag,bool,boolean,,,,,国保連再送付有フラグ,A
dogetsuShinsaAriFlag,bool,boolean,,,,,同月審査有フラグ,A
moshitateshoKubunCode,varchar,RString,,,,,申立書区分コード,A
