hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,対象年度,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,保険者番号,A
seiriNo,varchar,RString,,,,,整理番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shinseiJokyoKubun,varchar,RString,,,,,申請状況区分,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
shikyuShinseishoSeiriNo,varchar,RString,,,,,支給申請書整理番号,A
kokuhoShikyuShinseishoSeiriNo,varchar,RString,,,,,国保支給申請書整理番号,A
shikyuShinseiKubun,varchar,RString,,,,,支給申請区分,A
taishoKeisanKaishiYMD,UDD015YMD,FlexibleDate,,,,,対象計算期間開始年月日,A
taishoKeisanShuryoYMD,UDD015YMD,FlexibleDate,,,,,対象計算期間終了年月日,A
shikyuShinseiKeitai,varchar,RString,,,,,支給申請形態,A
jikoFutanKofuUmu,varchar,RString,,,,,自己負担額証明書交付申請の有無,A
shinseiDaihyoshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,申請代表者氏名,A
shinseiDaihyoshaYubinNo,UDD003YubinNo,YubinNo,,,,,申請代表者郵便番号,A
shinseiDaihyoshaJusho,varchar,RString,,,,,申請代表者住所,A
shinseiDaihyoshaTelNo,UDD026TelNo,TelNo,,,,,申請代表者電話番号,A
shotokuKubun,varchar,RString,,,,,所得区分,A
over70_ShotokuKubun,varchar,RString,,,,,70歳以上の者に係る所得区分,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,資格喪失年月日,A
shikakuSoshitsuJiyu,varchar,RString,,,,,資格喪失事由,A
kanyuKaishiYMD,UDD015YMD,FlexibleDate,,,,,加入期間開始年月日,A
kanyuShuryoYMD,UDD015YMD,FlexibleDate,,,,,加入期間終了年月日,A
kokuho_HokenshaNo,varchar,RString,,,,,国保保険者番号,A
kokuho_HokenshaMeisho,varchar,RString,,,,,国保保険者名称,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,国保被保険者証記号,A
kokuho_HihokenshaShoNo,varchar,RString,,,,,国保被保険者証番号,A
kokuho_SetaiNo,varchar,RString,,,,,国保世帯番号,A
kokuho_Zokugara,varchar,RString,,,,,国保続柄,A
kokuho_KanyuKaishiYMD,UDD015YMD,FlexibleDate,,,,,国保加入期間開始年月日,A
kokuho_KanyuShuryoYMD,UDD015YMD,FlexibleDate,,,,,国保加入期間終了年月日,A
koki_HokenshaNo,varchar,RString,,,,,後期保険者番号,A
koki_KoikiRengoMeisho,varchar,RString,,,,,後期広域連合名称,A
koki_HihokenshaNo,varchar,RString,,,,,後期被保険者番号,A
koki_KanyuKaishiYMD,UDD015YMD,FlexibleDate,,,,,後期加入期間開始年月日,A
koki_KanyuShuryoYMD,UDD015YMD,FlexibleDate,,,,,後期加入期間終了年月日,A
shiharaiHohoKubun,varchar,RString,,,,,支払方法区分,A
shiharaiBasho,varchar,RString,,,,,支払場所,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,支払期間開始年月日,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,支払期間終了年月日,A
heichoNaiyo,varchar,RString,,,,,閉庁内容,A
shiharaiKaishiTime,varchar,RString,,,,,支払期間開始時間,A
shiharaiShuryoTime,varchar,RString,,,,,支払期間終了時間,A
kozaID,int8,long,,,,,口座ID,A
biko,varchar,RString,,,,,備考,A
shikyuShinseisho_SofuYM,UDD014YM,FlexibleYearMonth,,,,,支給申請書情報送付年月,A
saiSofuFlag,varchar,RString,,,,,再送フラグ,A
jikoFutan_KeisanYM,UDD014YM,FlexibleYearMonth,,,,,自己負担額計算年月,A
saiKeisanKubun,varchar,RString,,,,,再計算区分,A
