hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
jigyoshaKeiyakuNo,varchar,RString,,,,,事業者契約番号,A
keiyakuServiceShurui,varchar,RString,,,,,契約サービス種類,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,決定年月日,A
shoninKekkaKubun,varchar,RString,,,,,承認結果区分,A
juryoininKaishiYMD,UDD015YMD,FlexibleDate,,,,,受領委任払適用開始年月日,A
juryoininShuryoYMD,UDD015YMD,FlexibleDate,,,,,受領委任払適用終了年月日,A
keiyakuNo,varchar,RString,,,,,契約番号,A
fuShoninRiyu,varchar,RString,,,,,不承認理由,A
hiyoGakuGokei,numeric,Decimal,,,,,費用額合計,A
hokenTaishoHiyoGaku,numeric,Decimal,,,,,保険対象費用額,A
riyoshaJikoFutanGaku,numeric,Decimal,,,,,利用者自己負担額,A
hokenKyufuhiGaku,numeric,Decimal,,,,,保険給付費額,A
shoninKekkaTsuchiSakuseiYMD,UDD015YMD,FlexibleDate,,,,,承認結果通知書作成日,A
shoninKekkaTsuchiSaiHakkoKubun,varchar,RString,,,,,承認結果通知書再発行区分,A
