hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
kariireShinseiYMD,UDD015YMD,FlexibleDate,,,,,借入申請年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
shinseishaYubinNo,UDD003YubinNo,YubinNo,,,,,申請者郵便番号,A
shinseishaJusho,varchar,RString,,,,,申請者住所,A
shinseishaShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,申請者氏名カナ,A
shinseishaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,申請者氏名,A
shinseishaTelNo,UDD026TelNo,TelNo,,,,,申請者電話番号,A
shinseishaKankei,varchar,RString,,,,,申請者との関係,A
kariireRiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,借入利用期間開始年月日,A
kariireRiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,借入利用期間終了年月日,A
kashitsuke_KogakuUmu,varchar,RString,,,,,貸付対象・高額介護サービス費等有無,A
kashitsuke_JutakuKaishuUmu,varchar,RString,,,,,貸付対象・住宅改修費等有無,A
kahitsuke_YoguKonyuUmu,varchar,RString,,,,,貸付対象・福祉用具購入費等有無,A
kashitsuke_TokureiServiceUmu,varchar,RString,,,,,貸付対象・特例介護サービス費等有無,A
hoshonin_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,保証人氏名カナ,A
hoshonin_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,保証人氏名,A
hoshonin_UmareYMD,UDD015YMD,FlexibleDate,,,,,保証人生年月日,A
hoshinin_SeibetsuCd,UDD035Code,Code,,,,,保証人性別,A
hoshonin_YubinNo,UDD003YubinNo,YubinNo,,,,,保証人郵便番号,A
hoshonin_Jusho,varchar,RString,,,,,保証人住所,A
hoshonin_TelNo,UDD026TelNo,TelNo,,,,,保証人電話番号,A
kariireShinseishaKankei,varchar,RString,,,,,借入申請者との関係,A
hoshonin_KinmusakiMeisho,UDD042AtenaMeisho,AtenaMeisho,,,,,保証人勤務先名称,A
hoshonin_KinmusakiYubinNo,UDD003YubinNo,YubinNo,,,,,保証人勤務先郵便番号,A
hoshonin_KinmusakiJusho,varchar,RString,,,,,保証人勤務先所在地,A
hoshonin_KinmusakiTelNo,UDD026TelNo,TelNo,,,,,保証人勤務先電話番号,A
seikyusho_RyoshushoUmu,varchar,RString,,,,,請求書・領収書の有無,A
teishutsubutsuKanriNo,int2,int,,,,,提出物管理番号,A
