hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
kariireShinseiYMD,UDD015YMD,FlexibleDate,,,,,借入申請年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
kashitsukeShinsaKetteiYMD,UDD015YMD,FlexibleDate,,,,,貸付審査決定年月日,A
kashitsukeShonin_FuShoninKubun,varchar,RString,,,,,貸付承認・不承認区分,A
kashitsukeKanriNo,varchar,RString,,,,,貸付管理番号,A
kashitsukeKingaku,numeric,Decimal,,,,,貸付金額,A
shokanHoho,varchar,RString,,,,,償還方法,A
shokanKigenYMD,UDD015YMD,FlexibleDate,,,,,償還期限,A
kashitsukeYMD,UDD015YMD,FlexibleDate,,,,,貸付年月日,A
kashitsukeShiharaiHoho,varchar,RString,,,,,貸付支払方法,A
kashitsukeMadoguchiShiharaiBasho,varchar,RString,,,,,貸付窓口支払場所,A
kashitsukeMadoguchiKaishiYMD,UDD015YMD,FlexibleDate,,,,,貸付窓口開始年月日,A
kashitsukeMadoguchiShuryoYMD,UDD015YMD,FlexibleDate,,,,,貸付窓口終了年月日,A
kashitsukeMadoguchiHeichoNaiyo,varchar,RString,,,,,貸付窓口閉庁内容,A
kashitsukeMadoguchiKaishiTime,varchar,RString,,,,,貸付窓口開始時間,A
kashitsukeMadoguchiShuryoTime,varchar,RString,,,,,貸付窓口終了時間,A
kashitsukeFuShoninRiyu,varchar,RString,,,,,貸付不承認理由,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
