hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
kashitsukeKanriNo,varchar,RString,,,,,貸付管理番号,A
shokanKigenEnchoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,償還期限延長受付年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
shokanKigenEnchoShinseiYMD,UDD015YMD,FlexibleDate,,,,,償還期限延長申請年月日,A
kariukeninYubinNo,UDD003YubinNo,YubinNo,,,,,借受人郵便番号,A
kariukeninJusho,varchar,RString,,,,,借受人住所,A
kariukeninShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,借受人氏名カナ,A
kariukeninShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,借受人氏名,A
kariukeninTelNo,UDD026TelNo,TelNo,,,,,借受人電話番号,A
miShokanKingaku,numeric,Decimal,,,,,未償還金額,A
enchoKiboKaishiYMD,UDD015YMD,FlexibleDate,,,,,償還期限延長希望期間開始年月日,A
enchoKiboShuryoYMD,UDD015YMD,FlexibleDate,,,,,償還期限延長希望期間終了年月日,A
enchoRiyu,varchar,RString,,,,,償還期限延長理由等,A
henkoKetteiYMD,UDD015YMD,FlexibleDate,,,,,償還期限変更決定年月日,A
henkoShonin_FuShoninKubun,varchar,RString,,,,,償還期限変更承認・不承認区分,A
henkoGoShokanKigenYMD,UDD015YMD,FlexibleDate,,,,,変更後償還期限,A
henkoFuShoninRiyu,varchar,RString,,,,,償還期限変更不承認理由,A
