hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
shinseishaKubun,varchar,RString,,,,,申請者区分,A
daikoJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,申請代行事業者番号,A
jigyoshaKubun,varchar,RString,,,,,事業者区分,A
shinseishaYubinNo,UDD003YubinNo,YubinNo,,,,,申請者郵便番号,A
shinseishaJusho,varchar,RString,,,,,申請者住所,A
shinseishaTelNo,UDD026TelNo,TelNo,,,,,申請者電話番号,A
shinseiRiyu,varchar,RString,,,,,申請理由,A
tandokuJoseiShuruiCode,varchar,RString,,,,,市町村単独助成種類,A
