shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
tensu_SeikatsuKinoZenpan,numeric,Decimal,,,,,点数・生活機能全般,A
tensu_UndokiKino,numeric,Decimal,,,,,点数・運動器機能,A
tensu_Eiyo,numeric,Decimal,,,,,点数・栄養,A
tensu_Koku,numeric,Decimal,,,,,点数・口腔,A
tensu_Tojikomori,numeric,Decimal,,,,,点数・閉じこもり,A
tensu_NinchiNoryoku,numeric,Decimal,,,,,点数・認知能力,A
tensu_Utsu,numeric,Decimal,,,,,点数・うつ,A
shien_SeikatsuKinoZenpan,int2,int,,,,,支援必要性・生活機能全般,A
shien_UndokiKino,int2,int,,,,,支援必要性・運動器機能,A
shien_Eiyo,int2,int,,,,,支援必要性・栄養,A
shien_Koku,int2,int,,,,,支援必要性・口腔,A
shien_Tojikomori,int2,int,,,,,支援必要性・閉じこもり,A
shien_NinchiNoryoku,int2,int,,,,,支援必要性・認知能力,A
shien_Utsu,int2,int,,,,,支援必要性・うつ,A
nijiYobo_ShukantekiKenkouKan,varchar,RString,,,,,二次予防・主観的健康感,A
