shoriYM,UDD014YM,FlexibleYearMonth,,,,,A
kokanShikibetsuNo,varchar,RString,,,,,A
sofuTorikomiKubun,bpchar,RString,,,,,A
shoriJotaiKubun,bpchar,RString,,,,,A
shoriJisshiTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
chushutsuKaishiTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
chushutsuShuryoTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
saiShoriKahiKubun,bool,boolean,,,,,A
shoriJikkoKaisu,numeric,Decimal,,,,,A
fileName1,varchar,RString,,,,,A
fileName2,varchar,RString,,,,,A
fileName3,varchar,RString,,,,,A
fileName4,varchar,RString,,,,,A
fileName5,varchar,RString,,,,,A
fileKensu1,int4,int,,,,,A
fileKensu2,int4,int,,,,,A
fileKensu3,int4,int,,,,,A
fileKensu4,int4,int,,,,,A
fileKensu5,int4,int,,,,,A
saiShoriFukaKubun,bool,boolean,,,,,A
ctrlRecordKensu,int4,int,,,,,A
ctrlShoriYM,UDD014YM,FlexibleYearMonth,,,,,A
kagoCtrlRecordKensu,int4,int,,,,,A
kagoCtrlShoriYM,UDD014YM,FlexibleYearMonth,,,,,A
jissekiDataShinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
