setaiCode,UDD051SetaiCode,SetaiCode,,,,,世帯コード,A
nendo,UDD012YSeireki,FlexibleYear,,,,,年度,A
rirekiNo,int2,int,,,,,履歴番号,A
hihokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,被保険者番号,A
kotekiNenkinShunyugaku,numeric,Decimal,,,,,公的年金収入額,A
kyuyoShunyugaku,numeric,Decimal,,,,,給与収入額,A
sonotaShunyugaku,numeric,Decimal,,,,,その他の収入額,A
santeiKijungaku,numeric,Decimal,,,,,算定基準額,A
tekiyoKaishiYMD,UDD014YM,FlexibleYearMonth,,,,,適用開始年月,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請日,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,決定日,A
shinseishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,申請書作成日,A
shinseishoSakuseiSetaiKijunYMD,UDD015YMD,FlexibleDate,,,,,申請書作成の世帯基準日,A
ketteiTsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,決定通知書発行日,A
atesakiInjiTaishoshaFlag,bool,boolean,,,,,宛先印字対象者フラグ,A
nenshoFuyokojoUnder16Ninzu,int2,int,,,,,年少扶養控除（16歳未満）人数,A
nenshoFuyokojoOver16Ninzu,int2,int,,,,,年少扶養控除（16～18歳未満）人数,A
setaiinSoShunyugaku,numeric,Decimal,,,,,世帯員の総収入額,A
setainushiFlag,bool,boolean,,,,,世帯主フラグ,A
kazeiShotokugaku,numeric,Decimal,,,,,課税所得額,A
kazeiShotokugakuKojogo,numeric,Decimal,,,,,課税所得額（控除後）,A
