serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,サービス種類コード,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,DbUDD006ServiceKomokuCode,,,,,サービス項目コード,A
tekiyoKaishiYM,UDD014YM,FlexibleYearMonth,,,,,適用開始年月,A
rirekiNo,int2,int,,,,,履歴番号,A
tekiyoShuryoYM,UDD014YM,FlexibleYearMonth,,,,,適用終了年月,A
serviceMeisho,varchar,RString,,,,,サービス名称,A
taniSu,numeric,Decimal,,,,,単位数,A
gendoGakuTaishogaiFlag,varchar,RString,,,,,限度額対象外フラグ,A
taniSuShikibetsuCode,varchar,RString,,,,,単位数識別コード,A
gaibuServiceRiyogataKubun,varchar,RString,,,,,外部サービス利用型区分,A
tokubetsuChiikiKasanFlag,varchar,RString,,,,,特別地域加算フラグ,A
teiRitsu_TeiGakuKubun,varchar,RString,,,,,利用者負担定率／定額区分,A
riyoshaFutanGaku,numeric,Decimal,,,,,利用者負担額,A
kyufuRitsu,DbUDD011HokenKyufuRitsu,DbUDD011HokenKyufuRitsu,,,,,給付率,A
