shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
kyufuKanrihyoShubetsuKubunCode,varchar,RString,,,,,給付管理票種別区分コード,A
kyufuKanrihyoMeisaiLineNo,varchar,RString,,,,,給付管理票明細行番号,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
kyotakushienJigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,居宅支援事業所番号,A
kyufuKanrihyoSakuseiKubunCode,varchar,RString,,,,,給付管理票情報作成区分コード,A
kyufuKanrihyoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,給付管理票作成年月日,A
hokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,保険者番号,A
hiHokenshaUmareYMD,UDD015YMD,FlexibleDate,,,,,被保険者生年月日,A
seibetsuCode,varchar,RString,,,,,性別コード,A
yoKaigoJotaiKubunCode,varchar,RString,,,,,要介護状態区分コード,A
gendogakuTekiyoKaishiYM,UDD014YM,FlexibleYearMonth,,,,,限度額適用期間(開始),A
gendogakuTekiyoShuryoYM,UDD014YM,FlexibleYearMonth,,,,,限度額適用期間(終了),A
kyotakuKaigoYoboShikyuGendogaku,numeric,Decimal,,,,,居宅・介護予防支給限度額,A
kyotakuServicePlanSakuseiKubunCode,varchar,RString,,,,,居宅サービス計画作成区分コード,A
serviceJigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,サービス事業所番号,A
shiteiKijungaitoChiikimitchakuServiceShikibetsuCode,varchar,RString,,,,,指定/基準該当/地域密着型サービス識別コード,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
kyufuKeikakuTanisuNissu,numeric,Decimal,,,,,給付計画単位数／日数,A
kyufuKeikakuNissu,numeric,Decimal,,,,,限度額管理期間における前月までの給付計画日数,A
shiteiServiceSubTotal,numeric,Decimal,,,,,指定サービス分小計,A
kijyunGaitoServiceSubTotal,numeric,Decimal,,,,,基準該当サービス分小計,A
kyufuKeikakuTotalTanisuNissu,numeric,Decimal,,,,,給付計画合計単位数/日数,A
toshoTorokuYMD,UDD015YMD,FlexibleDate,,,,,当初登録年月日,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
