kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
kyufuSakuseiKubunCode,varchar,RString,,,,,給付実績情報作成区分コード,A
kyufuJissekiKubunCode,varchar,RString,,,,,給付実績区分コード,A
toshiNo,varchar,RString,,,,,通し番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,決定年月日,A
kohi1FutanNo,varchar,RString,,,,,公費１負担番号,A
kohi2FutanNo,varchar,RString,,,,,公費２負担番号,A
kohi3FutanNo,varchar,RString,,,,,公費３負担番号,A
riyoshaFutangaku,int4,int,,,,,利用者負担額,A
kohi1Futangaku,int4,int,,,,,公費１負担額,A
kohi2Futangaku,int4,int,,,,,公費２負担額,A
kohi3Futangaku,int4,int,,,,,公費３負担額,A
shikyugaku,int4,int,,,,,支給額,A
kohi1Shikyugaku,int4,int,,,,,公費１支給額,A
kohi2Shikyugaku,int4,int,,,,,公費２支給額,A
kohi3Shikyugaku,int4,int,,,,,公費３支給額,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,送付年月,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
sakuseiKubun,varchar,RString,,,,,作成区分,A
kanriNo,varchar,RString,,,,,管理番号,A
hokenshaHoyuKyufujissekiJohoSakujoZumiFlag,bool,boolean,,,,,保険者保有給付実績情報削除済フラグ,A
