kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
toshiNo,varchar,RString,,,,,通し番号,A
serviceSyuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
serviceJitsunissu,int2,Integer,,,,,サービス実日数,A
planTanisu,int4,Decimal,,,,,計画単位数,A
gendogakuKanriTaishoTanisu,int4,Decimal,,,,,限度額管理対象単位数,A
gendogakuKanritaishogaiTanisu,int4,Decimal,,,,,限度額管理対象外単位数,A
tankiNyushoPlanNissu,int2,Integer,,,,,短期入所計画日数,A
tankiNyushoJitsunissu,int2,Integer,,,,,短期入所実日数,A
hokenTanisuTotal,int4,Decimal,,,,,保険・単位数合計,A
hokenTanisuTani,numeric,Decimal,,,,,保険・単位数単価,A
hokenSeikyugaku,varchar,Decimal,,,,,保険・請求額,A
hokenRiyoshaFutangaku,int4,Decimal,,,,,保険・利用者負担額,A
kohi1TanisuTotal,int4,Decimal,,,,,公費１・単位数合計,A
kohi1Seikyugaku,varchar,Decimal,,,,,公費１・請求額,A
kohi1HonninFutangaku,int4,Decimal,,,,,公費１・本人負担額,A
kohi2TanisuTotal,int4,Decimal,,,,,公費２・単位数合計,A
kohi2Seikyugaku,varchar,Decimal,,,,,公費２・請求額,A
kohi2HonninFutangaku,int4,Decimal,,,,,公費２・本人負担額,A
kohi3TanisuTotal,int4,Decimal,,,,,公費３・単位数合計,A
kohi3Seikyugaku,varchar,Decimal,,,,,公費３・請求額,A
kohi3HonninFutangaku,int4,Decimal,,,,,公費３・本人負担額,A
hokenDekidakaTanisuTotal,int4,Decimal,,,,,保険・出来高単位数合計,A
hokenDekidakaSeikyugaku,varchar,Decimal,,,,,保険・出来高請求額,A
hokenDekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,保険・出来高医療費利用者負担額,A
kohi1DekidakaTanisuTotal,int4,Decimal,,,,,公費１・出来高単位数合計,A
kohi1DekidakaSeikyugaku,varchar,Decimal,,,,,公費１・出来高請求額,A
kohi1DekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,公費１・出来高医療費利用者負担額,A
kohi2DekidakaTanisuTotal,int4,Decimal,,,,,公費２・出来高単位数合計,A
kohi2DekidakaSeikyugaku,varchar,Decimal,,,,,公費２・出来高請求額,A
kohi2DekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,公費２・出来高医療費本人負担額,A
kohi3DekidakaTanisuTotal,int4,Decimal,,,,,公費３・出来高単位数合計,A
kohi3DekidakaSeikyugaku,varchar,Decimal,,,,,公費３・出来高請求額,A
kohi3DekidakaIryohiRiyoshaFutangaku,int4,Decimal,,,,,公費３・出来高医療費本人負担額,A
atoTankiNyushoJitsunissu,int4,Integer,,,,,後・短期入所実日数,A
atoHokenTanisuTotal,int4,Decimal,,,,,後・単位数合計,A
atoHokenSeikyugaku,varchar,Decimal,,,,,後・保険請求分請求額,A
atoKohi1TanisuTotal,int4,Decimal,,,,,後・公費１・単位数合計,A
atoKohi1Seikyugaku,varchar,Decimal,,,,,後・公費１・請求額,A
atoKohi2TanisuTotal,int4,Decimal,,,,,後・公費２・単位数合計,A
atoKohi2Seikyugaku,varchar,Decimal,,,,,後・公費２・請求額,A
atoKohi3TanisuTotal,int4,Decimal,,,,,後・公費３・単位数合計,A
atoKohi3Seikyugaku,varchar,Decimal,,,,,後・公費３・請求額,A
atoHokenDekidakaTanisuTotal,int4,Decimal,,,,,後・保険・出来高単位数合計,A
atoHokenDekidakaSeikyugaku,varchar,Decimal,,,,,後・保険・出来高請求額,A
atoKohi1DekidakaTanisuTotal,int4,Decimal,,,,,後・公費１・出来高単位数合計,A
atoKohi1DekidakaSeikyugaku,varchar,Decimal,,,,,後・公費１・出来高請求額,A
atoKohi2DekidakaTanisuTotal,int4,Decimal,,,,,後・公費２・出来高単位数合計,A
atoKohi2DekidakaSeikyugaku,varchar,Decimal,,,,,後・公費２・出来高請求額,A
atoKohi3DekidakaTanisuTotal,int4,Decimal,,,,,後・公費３・出来高単位数合計,A
atoKohi3DekidakaSeikyugaku,varchar,Decimal,,,,,後・公費３・出来高請求額,A
saishinsaKaisu,int4,Integer,,,,,再審査回数,A
kagoKaisu,int4,Integer,,,,,過誤回数,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
