hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
shinseiRiyu,varchar,RString,,,,,申請理由,A
shinseishaKubun,varchar,RString,,,,,申請者区分,A
shinseishaNameKanji,varchar,RString,,,,,申請者氏名,A
shinseishaNameKana,varchar,RString,,,,,申請者氏名カナ,A
shinseishaYubinNo,UDD003YubinNo,YubinNo,,,,,申請者郵便番号,A
shinseishaAddress,varchar,RString,,,,,申請者住所,A
shinseishaTelNo,UDD026TelNo,TelNo,,,,,申請者電話番号,A
shinseiJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,申請事業者番号,A
riyushoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,理由書作成日,A
riyushoSakuseishaName,varchar,RString,,,,,理由書作成者,A
riyushoSakuseishaKanaName,varchar,RString,,,,,理由書作成者カナ,A
riyushoSakuseiJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,理由書作成事業者番号,A
shiharaiKingakuTotal,numeric,Decimal,,,,,支払金額合計,A
hokenTaishoHiyogaku,numeric,Decimal,,,,,保険対象費用額,A
hokenKyufugaku,int4,int,,,,,保険給付額,A
riyoshaFutangaku,int4,int,,,,,利用者負担額,A
shikyuShinseiShinsaKubun,varchar,RString,,,,,支給申請審査区分,A
shinsaHohoKubun,varchar,RString,,,,,審査方法区分,A
sofuKubun,varchar,RString,,,,,送付区分,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,送付年月,A
kokuhorenSaisofuFlag,bool,boolean,,,,,国保連再送付フラグ,A
shiharaiHohoKubunCode,varchar,RString,,,,,支払方法区分コード,A
shiharaiBasho,varchar,RString,,,,,支払場所,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,支払期間開始年月日,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,支払期間終了年月日,A
shiharaiKaishiTime,varchar,RString,,,,,支払窓口開始時間,A
shiharaiShuryoTime,varchar,RString,,,,,支払窓口終了時間,A
kozaID,int8,long,,,,,口座ID,A
juryoininKeiyakuNo,varchar,RString,,,,,受領委任契約番号,A
jutakuShoyusha,varchar,RString,,,,,住宅所有者,A
hihokenshaKankei,varchar,RString,,,,,被保険者との関係,A
yokaigo3DankaiHenko,bool,boolean,,,,,要介護状態３段階変更,A
jutakuJushoHenko,bool,boolean,,,,,住宅住所変更,A
shinsaYMD,UDD015YMD,FlexibleDate,,,,,審査年月日,A
shinsaKekka,varchar,RString,,,,,審査結果,A
jizenServiceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,事前申請サービス提供年月,A
jizenSeiriNo,varchar,RString,,,,,事前申請整理番号,A
kaishuShinseiKubun,varchar,RString,,,,,住宅改修申請区分,A
kaishuShinseiTorikeshijiyuCode,varchar,RString,,,,,住宅改修申請取消事由コード,A
ryoshuYMD,UDD015YMD,FlexibleDate,,,,,領収年月日,A
