hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
shinseiRiyu,varchar,RString,,,,,申請理由,A
shinseishaKubun,varchar,RString,,,,,申請者区分,A
shinseishaNameKanji,varchar,RString,,,,,申請者氏名,A
shinseishaNameKana,varchar,RString,,,,,申請者氏名カナ,A
shinseishaYubinNo,UDD003YubinNo,YubinNo,,,,,申請者郵便番号,A
shinseishaJusho,varchar,RString,,,,,申請者住所,A
shinseishaTelNo,UDD026TelNo,TelNo,,,,,申請者電話番号,A
shinseiJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,申請事業者番号,A
riyushoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,理由書作成日,A
riyushoSakuseishaName,varchar,RString,,,,,理由書作成者,A
riyushoSakuseishaKanaName,varchar,RString,,,,,理由書作成者カナ,A
riyushoSakuseiJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,理由書作成事業者番号,A
shiharaiHohoKubunCode,varchar,RString,,,,,支払方法区分コード,A
shiharaiBasho,varchar,RString,,,,,支払場所,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,支払期間開始年月日,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,支払期間終了年月日,A
shiharaiKaishiTime,varchar,RString,,,,,支払窓口開始時間,A
shiharaiShuryoTime,varchar,RString,,,,,支払窓口終了時間,A
kozaID,int8,long,,,,,口座ID,A
juryoininKeiyakuNo,varchar,RString,,,,,受領委任契約番号,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
jutakuShoyusha,varchar,RString,,,,,住宅所有者,A
hihokenshaKankei,varchar,RString,,,,,被保険者との関係,A
yokaigo3DankaiHenko,bool,boolean,,,,,要介護状態３段階変更,A
jutakuJushoHenko,bool,boolean,,,,,住宅住所変更,A
hanteiKetteiYMD,UDD015YMD,FlexibleDate,,,,,判定決定年月日,A
hanteiKubun,varchar,RString,,,,,判定区分,A
shoninJoken,varchar,RString,,,,,承認条件,A
fushoninRiyu,varchar,RString,,,,,不承認理由,A
kyufugakuHiyogakuTotal,int4,int,,,,,給付額等・費用額合計,A
kyufugakuHokenTaishoHiyogaku,int4,int,,,,,給付額等・保険対象費用額,A
kyufugakuRiyoshaJikofutangaku,int4,int,,,,,給付額等・利用者自己負担額,A
kyufugakuHokenkyufuhigaku,int4,int,,,,,給付額等・保険給付費額,A
ketteitsuchishoHakkoYMD,UDD015YMD,FlexibleDate,,,,,事前申請決定通知発行日,A
kaishushinseiKubun,varchar,RString,,,,,住宅改修申請区分,A
kaishuShinseiTorikeshijiyuCode,varchar,RString,,,,,住宅改修申請取消事由コード,A
hokenKyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,保険給付率,A
sekoKanryoYoteiYMD,UDD015YMD,FlexibleDate,,,,,施工完了予定年月日,A
