hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
junjiNo,varchar,RString,,,,,順次番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shobyoName,varchar,RString,,,,,傷病名,A
shidoKanriryoTanisu,int4,int,,,,,指導管理料等単位数,A
tanjunXsenTanisu,int4,int,,,,,単純エックス線単位数,A
rehabilitationTanisu,int4,int,,,,,リハビリテーション単位数,A
seishinkaSemmonRyoyohouTanisu,int4,int,,,,,精神科専門療法単位数,A
TotalTanisu,int4,int,,,,,合計単位数,A
tekiyo1,varchar,RString,,,,,摘要１,A
tekiyo2,varchar,RString,,,,,摘要２,A
tekiyo3,varchar,RString,,,,,摘要３,A
tekiyo4,varchar,RString,,,,,摘要４,A
tekiyo5,varchar,RString,,,,,摘要５,A
tekiyo6,varchar,RString,,,,,摘要６,A
tekiyo7,varchar,RString,,,,,摘要７,A
tekiyo8,varchar,RString,,,,,摘要８,A
tekiyo9,varchar,RString,,,,,摘要９,A
tekiyo10,varchar,RString,,,,,摘要１０,A
tekiyo11,varchar,RString,,,,,摘要１１,A
tekiyo12,varchar,RString,,,,,摘要１２,A
tekiyo13,varchar,RString,,,,,摘要１３,A
tekiyo14,varchar,RString,,,,,摘要１４,A
tekiyo15,varchar,RString,,,,,摘要１５,A
tekiyo16,varchar,RString,,,,,摘要１６,A
tekiyo17,varchar,RString,,,,,摘要１７,A
tekiyo18,varchar,RString,,,,,摘要１８,A
tekiyo19,varchar,RString,,,,,摘要１９,A
tekiyo20,varchar,RString,,,,,摘要２０,A
