hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,決定年月日,A
honninShiharaiGaku,numeric,Decimal,,,,,本人支払額,A
shikyuKubunCode,varchar,RString,,,,,支給区分コード,A
shikyuKingaku,numeric,Decimal,,,,,支給金額,A
fushikyuRiyu,varchar,RString,,,,,不支給理由,A
shinsaHohoKubun,varchar,RString,,,,,審査方法区分,A
hanteiKekkaSofuYM,UDD014YM,FlexibleYearMonth,,,,,判定結果送付年月,A
saiSofuFlag,bool,boolean,,,,,再送付フラグ,A
hanteiKekkaSofuFuyoFlag,bool,boolean,,,,,判定結果送付不要フラグ,A
shinsaKekkaHaneiKubun,varchar,RString,,,,,審査結果反映区分,A
ketteiTsuchishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,決定通知書作成年月日,A
furikomiMeisaishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,振込明細書作成年月日,A
ketteiTsuchiHakkoKubun,varchar,RString,,,,,決定通知リアル発行区分,A
