toriatsukaiYM,UDD014YM,FlexibleYearMonth,,,,,取扱年月,A
hokenshaKubun,varchar,RString,,,,,保険者区分,A
rirekiNo,int2,int,,,,,履歴番号,A
kaigoKyufuhiSeikyuKensu,int4,int,,,,,介護給付費・請求・件数,A
kaigoKyufuhiSeikyuTanisu,numeric,Decimal,,,,,介護給付費・請求・単位数,A
kaigoKyufuhiSeikyuFutangaku,numeric,Decimal,,,,,介護給付費・請求・保険者負担額,A
kaigoKyufuhiKetteiKensu,int4,int,,,,,介護給付費・決定・件数,A
kaigoKyufuhiKetteiTanisu,numeric,Decimal,,,,,介護給付費・決定・単位数,A
kaigoKyufuhiKetteiFutangaku,numeric,Decimal,,,,,介護給付費・決定・保険者負担額,A
kaigoKyufuhiChoseiKensu,int4,int,,,,,介護給付費・調整・件数,A
kaigoKyufuhiChoseiTanisu,numeric,Decimal,,,,,介護給付費・調整・単位数,A
kaigoKyufuhiChoseiFutangaku,numeric,Decimal,,,,,介護給付費・調整・保険者負担額,A
kogakuKaigoServicehiSeikyuKensu,int4,int,,,,,高額介護サービス費・請求・件数,A
kogakuKaigoServicehiSeikyuTanisu,numeric,Decimal,,,,,高額介護サービス費・請求・単位数,A
kogakuKaigoServicehiSeikyuFutangaku,numeric,Decimal,,,,,高額介護サービス費・請求・保険者負担額,A
kogakuKaigoServicehiKetteiKensu,int4,int,,,,,高額介護サービス費・決定・件数,A
kogakuKaigoServicehiKetteiTanisu,numeric,Decimal,,,,,高額介護サービス費・決定・単位数,A
kogakuKaigoServicehiKetteiFutangaku,numeric,Decimal,,,,,高額介護サービス費・決定・保険者負担額,A
kogakuKaigoServicehiChoseiKensu,int4,int,,,,,高額介護サービス費・調整・件数,A
kogakuKaigoServicehiChoseiTanisu,numeric,Decimal,,,,,高額介護サービス費・調整・単位数,A
kogakuKaigoServicehiChoseiFutangaku,numeric,Decimal,,,,,高額介護サービス費・調整・保険者負担額,A
kohiFutanshaNo,varchar,RString,,,,,公費負担者番号,A
sakuseiYMD,UDD015YMD,FlexibleDate,,,,,作成年月日,A
sinsaiinkaiName,varchar,RString,,,,,審査委員会名,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
