keiyakuJigyoshaNo,varchar,RString,,,,,契約事業者番号,A
kaishiYMD,UDD015YMD,FlexibleDate,,,,,開始年月日,A
shuryoYMD,UDD015YMD,FlexibleDate,,,,,終了年月日,A
keiyakuShurui,bpchar,RString,,,,,契約種類,A
keiyakuJigyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,契約事業者名称,A
keiyakuJigyoshaKanaName,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,契約事業者カナ名称,A
keiyakuJigyoshaYubinNo,UDD003YubinNo,YubinNo,,,,,契約事業者郵便番号,A
keiyakuJigyoshaJusho,UDD046AtenaJusho,AtenaJusho,,,,,契約事業者住所,A
keiyakuDaihyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,契約代表者氏名,A
keiyakuJigyoshaTelNo,UDD026TelNo,TelNo,,,,,契約事業者電話番号,A
keiyakuJigyoshaFaxNo,UDD026TelNo,TelNo,,,,,契約事業者FAX番号,A
sofusakiYubinNo,UDD003YubinNo,YubinNo,,,,,送付先郵便番号,A
sofusakiJusho,UDD046AtenaJusho,AtenaJusho,,,,,送付先住所,A
sofusakiBusho,varchar,RString,,,,,送付先部署,A
sofusakiJigyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,送付先事業者名称,A
sofusakiJigyoshaKanaName,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,送付先事業者カナ名称,A
kinyuKikanCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,金融機関コード,A
shitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,支店コード,A
kozaShubetsu,bpchar,RString,,,,,口座種別,A
kozaNo,bpchar,RString,,,,,口座番号,A
kozaMeiginin,UDD042AtenaMeisho,AtenaMeisho,,,,,口座名義人,A
kozaMeigininKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,口座名義人カナ,A
