hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
todokedeKanriNo,varchar,RString,,,,,第三者行為届出管理番号,A
rirekiNo,int2,int,,,,,履歴番号,A
todokedeYMD,UDD015YMD,FlexibleDate,,,,,届出年月日,A
todokedenin_YubinNo,UDD003YubinNo,YubinNo,,,,,届出人郵便番号,A
todokedenin_Jusho,varchar,RString,,,,,届出人住所,A
todokedenin_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,届出人氏名カナ,A
todokedenin_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,届出人氏名,A
todokedenin_TelNo,UDD026TelNo,TelNo,,,,,届出人電話番号,A
todokedenin_Zokugara,varchar,RString,,,,,届出人との続柄,A
yokaigoJotaiKubun,UDD035Code,Code,,,,,要介護状態区分,A
ninteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,認定有効期間開始年月日,A
ninteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,認定有効期間終了年月日,A
kagaisha_YubinNo,UDD003YubinNo,YubinNo,,,,,加害者郵便番号,A
kagaisha_Jusho,varchar,RString,,,,,加害者住所,A
kagaisha_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,加害者氏名カナ,A
kagansha_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,加害者氏名,A
kagaisha_UmareYMD,UDD015YMD,FlexibleDate,,,,,加害者生年月日,A
kagaisha_TelNo,UDD026TelNo,TelNo,,,,,加害者電話番号,A
kagaisha_Shokugyo,varchar,RString,,,,,加害者職業,A
shiyosha_YubinNo,UDD003YubinNo,YubinNo,,,,,使用者郵便番号,A
shiyosha_Jusho,varchar,RString,,,,,使用者住所,A
shiyosha_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,使用者氏名カナ,A
shiyosha_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,使用者氏名,A
shiyosha_UmareYMD,UDD015YMD,FlexibleDate,,,,,使用者生年月日,A
shiyosha_TelNo,UDD026TelNo,TelNo,,,,,使用者電話番号,A
shiyosha_Shokugyo,varchar,RString,,,,,使用者職業,A
fushoYMD,UDD015YMD,FlexibleDate,,,,,負傷年月日,A
fushoTime,varchar,RString,,,,,負傷時間,A
fushoJi_Basho,varchar,RString,,,,,負傷時の場所,A
hasshoGeiin_FushoJiJokyo,varchar,RString,,,,,発病原因・負傷時状況,A
jibaisekiHoken_KeiyakuKaishaMei,UDD042AtenaMeisho,AtenaMeisho,,,,,自賠責保険契約会社名,A
jibaisekiHoken_ShomeishoNo,varchar,RString,,,,,自賠責保険証明書番号,A
jibaisekiHoken_KeiyakushaJusho,varchar,RString,,,,,自賠責保険契約者住所,A
shoyushaJusho,varchar,RString,,,,,所有者住所,A
shoyushaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,所有者氏名,A
torokuNo,varchar,RString,,,,,登録番号,A
shadaiNo,varchar,RString,,,,,車台番号,A
niniHoken_TaijinHoshoUmu,varchar,RString,,,,,任意保険対人保障有無,A
niniHoken_TaijinHoshoKaishaMei,UDD042AtenaMeisho,AtenaMeisho,,,,,任意保険対人保障保険契約会社名,A
niniHoken_TaijinHoshoKaishaTelNo,UDD026TelNo,TelNo,,,,,任意保険対人保障保険契約会社連絡先,A
niniHoken_TaijinHoshoKaishaTantosha,UDD042AtenaMeisho,AtenaMeisho,,,,,任意保険対人保障保険契約会社担当者,A
jidan_SeiritsuUmu,varchar,RString,,,,,示談成立有無,A
jidan_SeiritsuYMD,UDD015YMD,FlexibleDate,,,,,示談成立年月日,A
songaiBaishoKoshoKeika,varchar,RString,,,,,損害賠償交渉経過,A
jikoHasseiJokyoHokokushoUmu,varchar,RString,,,,,事故発生状況報告書有無,A
nensho_DoishoUmu,varchar,RString,,,,,念書兼同意書有無,A
seiyakushoUmu,varchar,RString,,,,,誓約書有無,A
kotsuJikoShomeishoUmu,varchar,RString,,,,,交通事故証明書有無,A
jinshinJikoShomeisho_NyushuFunoRiyushoUmu,varchar,RString,,,,,人身事故証明書入手不能理由書有無,A
jidanshoUtsushiUmu,varchar,RString,,,,,示談書写し有無,A
