shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
rirekiNo,int2,int,,,,,履歴番号,A
kinyuYMD,UDD015YMD,FlexibleDate,,,,,記入年月日,A
shitsumonJiko01,int2,int,,,,,質問事項１,A
shitsumonJiko02,int2,int,,,,,質問事項２,A
shitsumonJiko03,int2,int,,,,,質問事項３,A
shitsumonJiko04,int2,int,,,,,質問事項４,A
shitsumonJiko05,int2,int,,,,,質問事項５,A
shitsumonJiko06,int2,int,,,,,質問事項６,A
shitsumonJiko07,int2,int,,,,,質問事項７,A
shitsumonJiko08,int2,int,,,,,質問事項８,A
shitsumonJiko09,int2,int,,,,,質問事項９,A
shitsumonJiko10,int2,int,,,,,質問事項１０,A
shitsumonJiko11,int2,int,,,,,質問事項１１,A
shitsumonJiko12Shincho,numeric,Decimal,,,,,質問事項１２身長,A
shitsumonJiko12Taiju,numeric,Decimal,,,,,質問事項１２体重,A
shitsumonJiko13,int2,int,,,,,質問事項１３,A
shitsumonJiko14,int2,int,,,,,質問事項１４,A
shitsumonJiko15,int2,int,,,,,質問事項１５,A
shitsumonJiko16,int2,int,,,,,質問事項１６,A
shitsumonJiko17,int2,int,,,,,質問事項１７,A
shitsumonJiko18,int2,int,,,,,質問事項１８,A
shitsumonJiko19,int2,int,,,,,質問事項１９,A
shitsumonJiko20,int2,int,,,,,質問事項２０,A
shitsumonJiko21,int2,int,,,,,質問事項２１,A
shitsumonJiko22,int2,int,,,,,質問事項２２,A
shitsumonJiko23,int2,int,,,,,質問事項２３,A
shitsumonJiko24,int2,int,,,,,質問事項２４,A
shitsumonJiko25,int2,int,,,,,質問事項２５,A
