hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
taishoYM,UDD014YM,FlexibleYearMonth,,,,,対象年月,A
riyoYM,UDD014YM,FlexibleYearMonth,,,,,利用年月,A
rirekiNo,int2,int,,,,,履歴番号,A
kyotakuServiceKubun,varchar,RString,,,,,居宅サービス区分,A
meisaiNo,int2,int,,,,,明細番号,A
serviceTeikyoJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,サービス提供事業者番号,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,ServiceKomokuCode,,,,,サービス項目コード,A
taniSu,numeric,Decimal,,,,,単位数,A
kaisu_Nissu,numeric,Decimal,,,,,回数・日数,A
waribikiGoTekiyoRitsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,割引後適用率,A
waribikiGoTekiyoTaniSu,numeric,Decimal,,,,,割引後適用単位数,A
teigakuRiyoshaFutanTankaKingaku,numeric,Decimal,,,,,定額利用者負担単価金額,A
goukeiFlag,bool,boolean,,,,,合計明細フラグ,A
shuruiGendoNaiTaniSu_Nissu,numeric,Decimal,,,,,種類限度内単位数・日数,A
shuruiGendoChokaTaniSu_Nissu,numeric,Decimal,,,,,種類限度超過単位数・日数,A
kubunGendoNaiTaniSu_Nissu,numeric,Decimal,,,,,区分限度内単位数・日数,A
kubunGendoChokaTaniSu_Nissu,numeric,Decimal,,,,,区分限度超過単位数・日数,A
taniSuTanka,numeric,Decimal,,,,,単位数単価,A
kyufuRitsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,給付率,A
keikakuTaniSu,numeric,Decimal,,,,,給付計画単位数,A
