hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,対象年度,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
shikyuShinseishoSeiriNo,varchar,RString,,,,,支給申請書整理番号,A
meisanNo,varchar,RString,,,,,明細番号,A
rirekiNo,int2,int,,,,,履歴番号,A
hokenSeidoCode,varchar,RString,,,,,保険制度コード,A
uchiwakeHokenshaNo,varchar,RString,,,,,内訳保険者番号,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,国保被保険者証記号,A
hiHokenshaShoNo,varchar,RString,,,,,被保険者（証）番号,A
uchiwakeHokenshaMei,varchar,RString,,,,,内訳保険者名,A
jikoFutanSeiriNo,varchar,RString,,,,,自己負担額証明書整理番号,A
taishoshaShimei,varchar,RString,,,,,対象者氏名（漢字）,A
over70_Futangaku,varchar,RString,,,,,70歳以上負担額,A
over70_AmbunRitsu,varchar,RString,,,,,70歳以上按分率,A
over70_Shikyugaku,varchar,RString,,,,,70歳以上支給額,A
under70_Futangaku,varchar,RString,,,,,70歳未満負担額,A
futangaku,varchar,RString,,,,,負担額,A
ambunRitsu,varchar,RString,,,,,按分率,A
under70_Shikyugaku,varchar,RString,,,,,70歳未満支給額,A
shikyugaku,varchar,RString,,,,,支給額,A
over70_Biko,varchar,RString,,,,,備考欄記載70歳以上負担額,A
under70_Biko,varchar,RString,,,,,備考欄記載70歳未満負担額,A
dataKubun,varchar,RString,,,,,データ区分,A
uketoriYM,UDD014YM,FlexibleYearMonth,,,,,受取年月,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,送付年月,A
