kokanShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
kyufuSakuseiKubunCode,varchar,RString,,,,,給付実績情報作成区分コード,A
hokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
kyufuJissekiKubunCode,varchar,RString,,,,,給付実績区分コード,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
toshiNo,varchar,RString,,,,,通し番号,A
kohi1FutanshaNo,varchar,RString,,,,,公費１・負担者番号,A
kohi1JukyushaNo,varchar,RString,,,,,公費１・受給者番号,A
kohi2FutanshaNo,varchar,RString,,,,,公費２・負担者番号,A
kohi2JukyushaNo,varchar,RString,,,,,公費２・受給者番号,A
kohi3FutanshaNo,varchar,RString,,,,,公費３・負担者番号,A
kohi3JukyushaNo,varchar,RString,,,,,公費３・受給者番号,A
umareYMD,UDD015YMD,FlexibleDate,,,,,生年月日,A
seibetsuCode,varchar,RString,,,,,性別コード,A
yoKaigoJotaiKubunCode,varchar,RString,,,,,要介護状態区分コード,A
kyuSochiNyushoshaTokureiCode,varchar,RString,,,,,旧措置入所者特例コード,A
ninteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,認定有効期間・開始年月日,A
ninteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,認定有功期間・終了年月日,A
rojinHokenShichosonNo,varchar,RString,,,,,老人保健市町村番号,A
rojinhokenJukyushaNo,varchar,RString,,,,,老人保健受給者番号,A
kokiHokenshaNo,varchar,RString,,,,,保険者番号（後期）,A
kokiHiHokenshaNo,varchar,RString,,,,,被保険者番号（後期）,A
kokuhoHokenshaNo,varchar,RString,,,,,保険者番号（国保）,A
kokuhoHiHokenshashoNo,varchar,RString,,,,,被保険者証番号（国保）,A
kokuhoKojinNo,varchar,RString,,,,,個人番号（国保）,A
kyotakuServiceSakuseiKubunCode,varchar,RString,,,,,居宅サービス計画作成区分コード,A
kyotakuKaigoShienJigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号(居宅介護支援事業所等),A
kaishiYMD,UDD015YMD,FlexibleDate,,,,,開始年月日,A
chushiYMD,UDD015YMD,FlexibleDate,,,,,中止年月日,A
chushiRiyuNyushomaeJyokyoCode,varchar,RString,,,,,中止理由・入所（院）前の状況コード,A
nyushoYMD,UDD015YMD,FlexibleDate,,,,,入所（院）年月日,A
taishoYMD,UDD015YMD,FlexibleDate,,,,,退所（院）年月日,A
nyushoJitsunissu,int2,Integer,,,,,入所（院）実日数,A
gaihakuNissu,int2,Integer,,,,,外泊日数,A
taishogoJotaiCode,varchar,RString,,,,,退所（院）後の状態コード,A
hokenKyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,保険給付率,A
kohi1Kyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,公費１給付率,A
kohi2Kyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,公費２給付率,A
kohi3Kyufuritsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,公費３給付率,A
maeHokenServiceTanisu,int4,Decimal,,,,,前・保険・サービス単位数,A
maeHokenSeikyugaku,numeric,Decimal,,,,,前・保険・請求額,A
maeHokenRiyoshaFutangaku,int4,Decimal,,,,,前・保険・利用者負担額,A
maeHokenKinkyuShisetsuRyoyoSeikyugaku,numeric,Decimal,,,,,前・保険・緊急時施設療養費請求額,A
maeHokenTokuteiShinryohiSeikyugaku,numeric,Decimal,,,,,前・保険・特定診療費請求額,A
maeHokenTokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,前・保険・特定入所者介護サービス費等請求額,A
maeKohi1ServiceTanisu,int4,Decimal,,,,,前・公費１・サービス単位数,A
maeKohi1Seikyugaku,int4,Decimal,,,,,前・公費１・請求額,A
maeKohi1RiyoshaFutangaku,int4,Decimal,,,,,前・公費１・本人負担額,A
maeKohi1KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,前・公費１・緊急時施設療養費請求額,A
maeKohi1TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,前・公費１・特定診療費請求額,A
maeKohi1TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,前・公費１・特定入所者介護サービス費等請求額,A
maeKohi2ServiceTanisu,int4,Decimal,,,,,前・公費２・サービス単位数,A
maeKohi2Seikyugaku,int4,Decimal,,,,,前・公費２・請求額,A
maeKohi2RiyoshaFutangaku,int4,Decimal,,,,,前・公費２・本人負担額,A
maeKohi2KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,前・公費２・緊急時施設療養費請求額,A
maeKohi2TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,前・公費２・特定診療費請求額,A
maeKohi2TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,前・公費２・特定入所者介護サービス費等請求額,A
maeKohi3ServiceTanisu,int4,Decimal,,,,,前・公費３・サービス単位数,A
maeKohi3Seikyugaku,int4,Decimal,,,,,前・公費３・請求額,A
maeKohi3RiyoshaFutangaku,int4,Decimal,,,,,前・公費３・本人負担額,A
maeKohi3KinkyuShisetsuRyoyoSeikyugaku,int4,Decimal,,,,,前・公費３・緊急時施設療養費請求額,A
maeKohi3TokuteiShinryohiSeikyugaku,int4,Decimal,,,,,前・公費３・特定診療費請求額,A
maeKohi3TokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,前・公費３・特定入所者介護サービス費等請求額,A
atoHokenServiceTanisu,int4,Decimal,,,,,後・保険・サービス単位数,A
atoHokenSeikyugaku,numeric,Decimal,,,,,後・保険・請求額,A
atoHokenRiyoshaFutangaku,int4,Decimal,,,,,後・保険・利用者負担額,A
atoHokenKinkyuShisetsuRyoyoSeikyugaku,numeric,Decimal,,,,,後・緊急時施設療養費請求額,A
atoHokenTokuteiShinryohiSeikyugaku,numeric,Decimal,,,,,後・保険・特定診療費請求額,A
atoHokenTokuteiNyushoshaKaigoServiceHiSeikyugaku,int4,Decimal,,,,,後・保険・特定入所者介護サービス費等請求額,A
