kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
toshiNo,varchar,RString,,,,,通し番号,A
recodeJunjiNo,varchar,RString,,,,,特定診療情報レコード順次番号,A
shobyoName,varchar,RString,,,,,傷病名,A
shikibetsuNo,varchar,RString,,,,,識別番号,A
tanisu,int2,int,,,,,単位数,A
hokenKaisu,int2,int,,,,,保険・回数,A
hokenServiceTanisu,int4,int,,,,,保険・ｻｰﾋﾞｽ単位数,A
hokenTotalTanisu,int4,int,,,,,保険・合計単位数,A
kohi1Kaisu,int2,int,,,,,公費１・回数,A
kohi1ServiceTanisu,int4,int,,,,,公費１・ｻｰﾋﾞｽ単位数,A
kohi1TotalTanisu,int4,int,,,,,公費１・合計単位数,A
kohi2Kaisu,int2,int,,,,,公費２・回数,A
kohi2ServiceTanisu,int4,int,,,,,公費２・ｻｰﾋﾞｽ単位数,A
kohi2TotalTanisu,int4,int,,,,,公費２・合計単位数,A
kohi3Kaisu,int2,int,,,,,公費３・回数,A
kohi3ServiceTanisu,int4,int,,,,,公費３・ｻｰﾋﾞｽ単位数,A
kohi3TotalTanisu,int4,int,,,,,公費３・合計単位数,A
tekiyo,varchar,RString,,,,,摘要,A
atoTanisu,int2,int,,,,,後・単位数,A
atoHokenKaisu,int2,int,,,,,後・保険・回数,A
atoHokenServiceTanisu,int4,int,,,,,後・保険・ｻｰﾋﾞｽ単位数,A
atoHokenTotalTanisu,int4,int,,,,,後・保険・合計単位数,A
atoKohi1Kaisu,int2,int,,,,,後・公費１・回数,A
atoKohi1ServiceTanisu,int4,int,,,,,後・公費１・ｻｰﾋﾞｽ単位数,A
atoKohi1TotalTanisu,int4,int,,,,,後・公費１・合計単位数,A
atoKohi2Kaisu,int2,int,,,,,後・公費２・回数,A
atoKohi2ServiceTanisu,int4,int,,,,,後・公費２・ｻｰﾋﾞｽ単位数,A
atoKohi2TotalTanisu,int4,int,,,,,後・公費２・合計単位数,A
atoKohi3Kaisu,int2,int,,,,,後・公費３・回数,A
atoKohi3ServiceTanisu,int4,int,,,,,後・公費３・ｻｰﾋﾞｽ単位数,A
atoKohi3TotalTanisu,int4,int,,,,,後・公費３・合計単位数,A
saishinsaKaisu,int2,int,,,,,再審査回数,A
kagoKaisu,int2,int,,,,,過誤回数,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
