kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
toshiNo,varchar,RString,,,,,通し番号,A
kihonTeikyoNissu,int2,int,,,,,基本・提供日数,A
kihonTeikyoTanka,int2,int,,,,,基本・提供単価,A
kihonTeikyoKingaku,int2,int,,,,,基本・提供金額,A
tokubestuTeikyoNissu,int2,int,,,,,特別・提供日数,A
tokubestuTeikyoTanka,int2,int,,,,,特別・提供単価,A
tokubestuTeikyoKingaku,int2,int,,,,,特別・提供金額,A
syokujiTeikyoNissu,int2,int,,,,,食事提供延べ日数,A
kohi1SyokujiTeikyoNissu,int2,int,,,,,公費１対象食事提供延べ日数,A
kohi2SyokujiTeikyoNissu,int2,int,,,,,公費２対象食事提供延べ日数,A
kohi3SyokujiTeikyoNissu,int2,int,,,,,公費３対象食事提供延べ日数,A
syokujiTeikyohiTotal,int2,int,,,,,食事提供費合計,A
getsugakuHyojunFutanGaku,int2,int,,,,,標準負担額（月額）,A
syokujiTeikyohiSeikyugaku,int2,int,,,,,食事提供費請求額,A
kohi1SyokujiTeikyohiSeikyugaku,int2,int,,,,,公費１食事提供費請求額,A
kohi2SyokujiTeikyohiSeikyugaku,int2,int,,,,,公費２食事提供費請求額,A
kohi3SyokujiTeikyohiSeikyugaku,int2,int,,,,,公費３食事提供費請求額,A
nichigakuHyojunFutanGaku,int2,int,,,,,標準負担額（日額）,A
atoKihonTeikyoTanka,int2,int,,,,,後・基本食提供費用提供単価,A
atoTokubestuTeikyoTanka,int2,int,,,,,後・特別食提供費用提供単価,A
atoSyokujiTeikyohiSeikyugaku,int2,int,,,,,後・食事提供費請求額,A
saishinsaKaisu,int2,int,,,,,再審査回数,A
kagoKaisu,int2,int,,,,,過誤回数,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
