kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
toshiNo,varchar,RString,,,,,通し番号,A
keigenritsu,numeric,Decimal,,,,,軽減率,A
serviceSyuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
riyoshaFutanTotal,int4,Decimal,,,,,受領すべき利用者負担の総額,A
keigengaku,int4,Decimal,,,,,軽減額,A
keigengoRiyoshaFutangaku,int4,Decimal,,,,,軽減後利用者負担額,A
biko,varchar,RString,,,,,備考,A
atoRiyoshaFutanTotal,int4,Decimal,,,,,後・受領すべき利用者負担の総額,A
atoKeigengaku,int4,Decimal,,,,,後・軽減額,A
atoKeigengoRiyoshaFutangaku,int4,Decimal,,,,,後・軽減後利用者負担額,A
saishinsaKaisu,int2,Integer,,,,,再審査回数,A
kagoKaisu,int2,Integer,,,,,過誤回数,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
