kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
shiteiKijungaitoJigyoshoKubunCode,varchar,RString,,,,,指定／基準該当事業所区分コード,A
kyotakuServiceSakuseiIraiYMD,UDD015YMD,FlexibleDate,,,,,居宅サービス計画作成依頼届出年月日,A
toshiNo,varchar,RString,,,,,通し番号,A
servicePlanhiMeisaiLineNo,varchar,RString,,,,,サービス計画費明細行番号,A
tanisuTanka,numeric,Decimal,,,,,単位数単価,A
serviceCode,DbUDD007ServiceCode,ServiceCode,,,,,サービスコード,A
tanisu,int2,int,,,,,単位数,A
kaisu,int2,int,,,,,回数,A
serviceTanisu,int4,int,,,,,サービス単位数,A
serivceTanisuTotal,int4,int,,,,,サービス単位数合計,A
seikyuKingaku,int4,int,,,,,請求金額,A
tantoKaigoShienSemmoninNo,varchar,RString,,,,,担当介護支援専門員番号,A
tekiyo,varchar,RString,,,,,摘要,A
riyoushaFutangaku,int4,int,,,,,利用者負担額,A
atoTanisu,int2,int,,,,,後・単位数,A
atoKaisu,int2,int,,,,,後・回数,A
atoServiceTanisu,int4,int,,,,,後・サービス単位数,A
atoServiceTanisuTotal,int4,int,,,,,後・サービス単位数合計,A
atoSeikyuKingaku,int4,int,,,,,後・請求金額,A
atoRiyoshaFutangaku,int4,int,,,,,後・利用者負担額,A
saishinsaKaisu,int2,int,,,,,再審査回数,A
kagoKaisu,int2,int,,,,,過誤回数,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
