hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
shinseiRiyu,varchar,RString,,,,,申請理由,A
shinseishaKubun,varchar,RString,,,,,申請者区分,A
shinseishaNameKanji,varchar,RString,,,,,申請者氏名,A
shinseishaNameKana,varchar,RString,,,,,申請者氏名カナ,A
shinseishaAddress,varchar,RString,,,,,申請者住所,A
shinseishaTelNo,varchar,RString,,,,,申請者電話番号,A
shinseiJigyoshaCode,varchar,RString,,,,,申請事業者コード,A
shiharaiKingakuTotal,numeric,Decimal,,,,,支払金額合計,A
hokenKyufuritsu,int4,int,,,,,保険給付額,A
riyoshaFutangaku,int4,int,,,,,利用者負担額,A
shikyuShinseiShinsaKubun,varchar,RString,,,,,支給申請審査区分,A
shinsaHohoKubun,varchar,RString,,,,,審査方法区分,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,送付年月,A
shiharaiHohoKubunCode,varchar,RString,,,,,支払方法区分コード,A
shiharaiBasho,varchar,RString,,,,,支払場所,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,支払期間開始年月日,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,支払期間終了年月日,A
heichoNaiyo,varchar,RString,,,,,閉庁内容,A
shiharaiKaishiTime,varchar,RString,,,,,支払窓口開始時間,A
shiharaiShuryoTime,varchar,RString,,,,,支払窓口終了期間,A
kozaID,int8,long,,,,,口座ID,A
juryoininKeiyakuNo,varchar,RString,,,,,受領委任契約番号,A
