hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNp,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
rirekiNo,int2,int,,,,,履歴番号,A
kihonTeikyoNissu,int2,int,,,,,基本提供日数,A
kihonTeikyoTanka,int2,int,,,,,基本提供単価,A
kihonTeikyoKingaku,int4,int,,,,,基本提供金額,A
tokubetsuTeikyoNissu,int2,int,,,,,特別提供日数,A
tokubetsuTeikyoTanka,int2,int,,,,,特別提供単価,A
tokubetsuTeikyoKingaku,int4,int,,,,,特別提供金額,A
shokujiTeikyoTotalNissu,int2,int,,,,,食事提供延べ日数,A
shokujiTeikyohiTotal,int4,int,,,,,食事提供費合計,A
getsugakuHyojunFutangaku,int4,int,,,,,標準負担額（月額）,A
shokujiTeikyohiSeikyugaku,int4,int,,,,,食事提供費請求額,A
nichigakuHyojunFutangaku,int2,int,,,,,標準負担額（日額）,A
shikyuKubunCode,varchar,RString,,,,,支給区分コード,A
tensuKingaku,int4,int,,,,,点数／金額,A
shikyuKingaku,int4,int,,,,,支給金額,A
zougenTen,int4,int,,,,,増減点,A
