hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
meisaiNo,varchar,RString,,,,,明細番号,A
renban,varchar,RString,,,,,連番,A
serviceCode,DbUDD007ServiceCode,DbUDD007ServiceCode,,,,,サービスコード,A
jutakuKaishuChakkoYMD,UDD015YMD,FlexibleDate,,,,,住宅改修着工年月日,A
jutakuKaishuNaiyo,varchar,RString,,,,,住宅改修内容,A
jutakuKaishuJigyoshaName,varchar,RString,,,,,住宅改修事業者名,A
jutakuKaishuJutakuAddress,varchar,RString,,,,,住宅改修住宅住所,A
kaishuKingaku,int4,int,,,,,改修金額,A
shinsaHohoKubunCode,varchar,RString,,,,,審査方法区分コード,A
jutakuKaishuKanseiYMD,UDD015YMD,FlexibleDate,,,,,住宅改修完成年月日,A
sagakuKingaku,int4,int,,,,,差額金額,A
jizenServiceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,事前申請サービス提供年月,A
jizenSeiriNo,varchar,RString,,,,,事前申請整理番号,A
