hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
junjiNo,varchar,RString,,,,,順次番号,A
rirekiNo,int2,int,,,,,履歴番号,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,ServiceShuruiCode,,,,,サービス種類コード,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,ServiceKomokuCode,,,,,サービス項目コード,A
hiyoTanka,int2,int,,,,,費用単価,A
futanGendogaku,int2,int,,,,,負担限度額,A
nissu,int2,int,,,,,日数,A
hiyogaku,int4,int,,,,,費用額,A
hokenbunSeikyugaku,int4,int,,,,,保険分請求額,A
riyoshaFutangaku,int4,int,,,,,利用者負担額,A
hiyogakuTotal,int4,int,,,,,費用額合計,A
hokenbunSeikyugakuTotal,int4,int,,,,,保険分請求額合計,A
riyoshaFutangakuTotal,int4,int,,,,,利用者負担額合計,A
shikyuKubunCode,varchar,RString,,,,,支給区分コード,A
tensuKingaku,int4,int,,,,,点数／金額,A
shikyuKingaku,int4,int,,,,,支給金額,A
zougenten,int4,int,,,,,増減点,A
sagakuKingaku,int4,int,,,,,差額金額,A
