hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
meisaiNo,varchar,RString,,,,,明細番号,A
renban,varchar,RString,,,,,連番,A
keigenritsu,numeric,Decimal,,,,,軽減率,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,サービス種類コード,A
riyoshaFutangakuTotal,int4,int,,,,,受領すべき利用者負担の総額,A
keigengaku,int4,int,,,,,軽減額,A
keigengoRiyoshaFutangaku,int4,int,,,,,軽減後利用者負担額,A
biko,varchar,RString,,,,,備考,A
