shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shinseiJiyu,varchar,RString,,,,,申請事由,A
riyoshaFutanDankai,varchar,RString,,,,,利用者負担段階,A
hyojunFutanKubun,varchar,RString,,,,,標準負担区分,A
kyoshitsuShubetsu,varchar,RString,,,,,居室種別,A
shokuhiFutanGendogaku,numeric,Decimal,,,,,食費負担限度額,A
unitTypeKoshitsu,numeric,Decimal,,,,,ユニット型個室,A
unitTypeJunKoshitsu,numeric,Decimal,,,,,ユニット型準個室,A
juraiTypeKoshitsu_Tokuyo,numeric,Decimal,,,,,従来型個室（特養等）,A
juraiTypeKoshitsu_Roken_Ryoyo,numeric,Decimal,,,,,従来型個室（老健・療養等）,A
tashoshitsu,numeric,Decimal,,,,,多床室,A
haigushaUmuFlag,bool,boolean,,,,,配偶者有無フラグ,A
haigushaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,配偶者氏名,A
haigushaShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,配偶者氏名カナ,A
haigushaSeinenGappiYMD,UDD015YMD,FlexibleDate,,,,,配偶者生年月日,A
haigushaJusho,UDD046AtenaJusho,AtenaJusho,,,,,配偶者住所,A
haigushaRenrakusaki,varchar,RString,,,,,配偶者連絡先,A
haigushaJusho2,UDD046AtenaJusho,AtenaJusho,,,,,配偶者住所２,A
haigushaKazeiKubun,varchar,RString,,,,,配偶者課税区分,A
haigushaShikibetsuCd,UDD001ShikibetsuCode,ShikibetsuCode,,,,,配偶者識別コード,A
yochokinShinkokuKubun,varchar,RString,,,,,預貯金申告区分,A
yochokinGaku,int4,int,,,,,預貯金額,A
yukashoukenGaisangaku,int4,int,,,,,有価証券評価概算額,A
sonotaKingaku,int4,int,,,,,その他金額,A
