shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
kanriKubun,varchar,RString,,,,,管理区分,A
tainoHanteiKubun,varchar,RString,,,,,滞納判定区分,A
choteiNendo,UDD012YSeireki,FlexibleYear,,,,,調定年度,A
fukaNendo,UDD012YSeireki,FlexibleYear,,,,,賦課年度,A
tsuchishoNo,DbUDD008TsuchishoNo,DbUDD008TsuchishoNo,,,,,通知書番号,A
Tokucho_fuchoKubun,varchar,RString,,,,,特徴・普徴区分,A
shuno_Ki_Tsuki,varchar,RString,,,,,収納期・月,A
rirekiNo,int2,int,,,,,履歴番号,A
tainoHanteiYMD,UDD015YMD,FlexibleDate,,,,,滞納判定年月日,A
hanteiKijunYMD,UDD015YMD,FlexibleDate,,,,,判定基準年月日,A
jikoKisanYMD,UDD015YMD,FlexibleDate,,,,,時効起算年月日,A
jikoKisanKubun,varchar,RString,,,,,時効起算日区分,A
kanno_MinoKubun,varchar,RString,,,,,完納・未納区分,A
jikoKubun,varchar,RString,,,,,時効区分,A
jikoAtoShunyuKubun,varchar,RString,,,,,時効後収入区分,A
taishoKanriKubun,varchar,RString,,,,,対象管理区分,A
