shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaRirekiNo,int2,int,,,,,認定調査依頼履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
ninteichousaIraiKubunCode,UDD035Code,Code,,,,,認定調査依頼区分コード,A
ninteichosaIraiKaisu,int2,int,,,,,認定調査回数,A
ninteichosaJisshiYMD,UDD015YMD,FlexibleDate,,,,,認定調査実施年月日,A
ninteichosaJuryoYMD,UDD015YMD,FlexibleDate,,,,,認定調査受領年月日,A
chosaItakuKubunCode,UDD035Code,Code,,,,,調査委託区分コード,A
ninteiChosaKubunCode,UDD035Code,Code,,,,,認定調査区分コード,A
chosaItakusakiCode,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,認定調査委託先コード,A
chosainCode,varchar,RString,,,,,認定調査員コード,A
chosaJisshiBashoCode,UDD035Code,Code,,,,,認定調査実施場所コード,A
chosaJisshiBashoMeisho,varchar,RString,,,,,認定調査実施場所名称,A
jisshiBashoImageSharedFileId,timestamp,RDateTime,,,,,実施場所イメージ共有ファイルID,A
genzainoJokyoCode,UDD035Code,Code,,,,,認定調査・現在の状況コード,A
serviceKubunCode,UDD035Code,Code,,,,,認定調査・サービス区分コード,A
serviceJokyo01,int2,int,,,,,サービスの状況01,A
serviceJokyo02,int2,int,,,,,サービスの状況02,A
serviceJokyo03,int2,int,,,,,サービスの状況03,A
serviceJokyo04,int2,int,,,,,サービスの状況04,A
serviceJokyo05,int2,int,,,,,サービスの状況05,A
serviceJokyo06,int2,int,,,,,サービスの状況06,A
serviceJokyo07,int2,int,,,,,サービスの状況07,A
serviceJokyo08,int2,int,,,,,サービスの状況08,A
serviceJokyo09,int2,int,,,,,サービスの状況09,A
serviceJokyo10,int2,int,,,,,サービスの状況10,A
serviceJokyo11,int2,int,,,,,サービスの状況11,A
serviceJokyo12,int2,int,,,,,サービスの状況12,A
serviceJokyo13,int2,int,,,,,サービスの状況13,A
serviceJokyo14,int2,int,,,,,サービスの状況14,A
serviceJokyo15,int2,int,,,,,サービスの状況15,A
serviceJokyo16,int2,int,,,,,サービスの状況16,A
serviceJokyo17,int2,int,,,,,サービスの状況17,A
serviceJokyo18,int2,int,,,,,サービスの状況18,A
serviceJokyo19,int2,int,,,,,サービスの状況19,A
serviceJokyo20,int2,int,,,,,サービスの状況20,A
serviceJokyo21,int2,int,,,,,サービスの状況21,A
serviceJokyo22,int2,int,,,,,サービスの状況22,A
serviceJokyo23,int2,int,,,,,サービスの状況23,A
serviceJokyo24,int2,int,,,,,サービスの状況24,A
serviceJokyo25,int2,int,,,,,サービスの状況25,A
serviceJokyo26,int2,int,,,,,サービスの状況26,A
serviceJokyo27,int2,int,,,,,サービスの状況27,A
serviceJokyo28,int2,int,,,,,サービスの状況28,A
serviceJokyo29,int2,int,,,,,サービスの状況29,A
serviceJokyo30,int2,int,,,,,サービスの状況30,A
serviceJokyoFlag01,bool,boolean,,,,,サービスの状況フラグ01,A
serviceJokyoFlag02,bool,boolean,,,,,サービスの状況フラグ02,A
serviceJokyoFlag03,bool,boolean,,,,,サービスの状況フラグ03,A
serviceJokyoFlag04,bool,boolean,,,,,サービスの状況フラグ04,A
serviceJokyoFlag05,bool,boolean,,,,,サービスの状況フラグ05,A
serviceJokyoFlag06,bool,boolean,,,,,サービスの状況フラグ06,A
serviceJokyoFlag07,bool,boolean,,,,,サービスの状況フラグ07,A
serviceJokyoFlag08,bool,boolean,,,,,サービスの状況フラグ08,A
serviceJokyoFlag09,bool,boolean,,,,,サービスの状況フラグ09,A
serviceJokyoFlag10,bool,boolean,,,,,サービスの状況フラグ10,A
serviceJokyoKinyu01,text,RString,,,,,サービスの状況記入01,A
serviceJokyoKinyu02,text,RString,,,,,サービスの状況記入02,A
serviceJokyoKinyu03,text,RString,,,,,サービスの状況記入03,A
serviceJokyoKinyu04,text,RString,,,,,サービスの状況記入04,A
serviceJokyoKinyu05,text,RString,,,,,サービスの状況記入05,A
serviceJokyoKinyu06,text,RString,,,,,サービスの状況記入06,A
serviceJokyoKinyu07,text,RString,,,,,サービスの状況記入07,A
serviceJokyoKinyu08,text,RString,,,,,サービスの状況記入08,A
serviceJokyoKinyu09,text,RString,,,,,サービスの状況記入09,A
serviceJokyoKinyu10,text,RString,,,,,サービスの状況記入10,A
serviceJokyoImageSharedFileId01,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID01,A
serviceJokyoImageSharedFileId02,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID02,A
serviceJokyoImageSharedFileId03,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID03,A
serviceJokyoImageSharedFileId04,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID04,A
serviceJokyoImageSharedFileId05,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID05,A
serviceJokyoImageSharedFileId06,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID06,A
serviceJokyoImageSharedFileId07,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID07,A
serviceJokyoImageSharedFileId08,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID08,A
serviceJokyoImageSharedFileId09,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID09,A
serviceJokyoImageSharedFileId10,timestamp,RDateTime,,,,,サービスの状況イメージ共有ファイルID10,A
shisetsuRiyo01,bool,boolean,,,,,施設利用01,A
shisetsuRiyo02,bool,boolean,,,,,施設利用02,A
shisetsuRiyo03,bool,boolean,,,,,施設利用03,A
shisetsuRiyo04,bool,boolean,,,,,施設利用04,A
shisetsuRiyo05,bool,boolean,,,,,施設利用05,A
shisetsuRiyo06,bool,boolean,,,,,施設利用06,A
shisetsuRiyo07,bool,boolean,,,,,施設利用07,A
shisetsuRiyo08,bool,boolean,,,,,施設利用08,A
shisetsuRiyo09,bool,boolean,,,,,施設利用09,A
shisetsuRiyo10,bool,boolean,,,,,施設利用10,A
riyoShisetsuShimei,varchar,RString,,,,,利用施設名,A
riyoShisetsuJusho,UDD046AtenaJusho,AtenaJusho,,,,,利用施設住所,A
riyoShisetsuTelNo,UDD026TelNo,TelNo,,,,,利用施設電話番号,A
riyoShisetsuYubinNo,UDD003YubinNo,YubinNo,,,,,利用施設郵便番号,A
riyoShisetsuNameImageSharedFileId,timestamp,RDateTime,,,,,利用施設名イメージ共有ファイルID,A
riyoShisetsuJushoImageSharedFileId,timestamp,RDateTime,,,,,利用施設住所イメージ共有ファイルID,A
riyoShisetsuTelNoImageSharedFileId,timestamp,RDateTime,,,,,利用施設電話番号イメージ共有ファイルID,A
tokki,text,RString,,,,,特記,A
tokkiImageSharedFileId,timestamp,RDateTime,,,,,特記イメージ共有ファイルID,A
tokkijikoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,認定調査特記事項受付年月日,A
tokkijikoJuryoYMD,UDD015YMD,FlexibleDate,,,,,認定調査特記事項受領年月日,A
