shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ikenshoIraiRirekiNo,int2,int,,,,,主治医意見書作成依頼履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
ikenItem01,bpchar,RString,,,,,意見項目01,A
ikenItem02,bpchar,RString,,,,,意見項目02,A
ikenItem03,bpchar,RString,,,,,意見項目03,A
ikenItem04,bpchar,RString,,,,,意見項目04,A
ikenItem05,bpchar,RString,,,,,意見項目05,A
ikenItem06,bpchar,RString,,,,,意見項目06,A
ikenItem07,bpchar,RString,,,,,意見項目07,A
ikenItem08,bpchar,RString,,,,,意見項目08,A
ikenItem09,bpchar,RString,,,,,意見項目09,A
ikenItem10,bpchar,RString,,,,,意見項目10,A
ikenItem11,bpchar,RString,,,,,意見項目11,A
ikenItem12,bpchar,RString,,,,,意見項目12,A
ikenItem13,bpchar,RString,,,,,意見項目13,A
ikenItem14,bpchar,RString,,,,,意見項目14,A
ikenItem15,bpchar,RString,,,,,意見項目15,A
ikenItem16,bpchar,RString,,,,,意見項目16,A
ikenItem17,bpchar,RString,,,,,意見項目17,A
ikenItem18,bpchar,RString,,,,,意見項目18,A
ikenItem19,bpchar,RString,,,,,意見項目19,A
ikenItem20,bpchar,RString,,,,,意見項目20,A
ikenItem21,bpchar,RString,,,,,意見項目21,A
ikenItem22,bpchar,RString,,,,,意見項目22,A
ikenItem23,bpchar,RString,,,,,意見項目23,A
ikenItem24,bpchar,RString,,,,,意見項目24,A
ikenItem25,bpchar,RString,,,,,意見項目25,A
ikenItem26,bpchar,RString,,,,,意見項目26,A
ikenItem27,bpchar,RString,,,,,意見項目27,A
ikenItem28,bpchar,RString,,,,,意見項目28,A
ikenItem29,bpchar,RString,,,,,意見項目29,A
ikenItem30,bpchar,RString,,,,,意見項目30,A
ikenItem31,bpchar,RString,,,,,意見項目31,A
ikenItem32,bpchar,RString,,,,,意見項目32,A
ikenItem33,bpchar,RString,,,,,意見項目33,A
ikenItem34,bpchar,RString,,,,,意見項目34,A
ikenItem35,bpchar,RString,,,,,意見項目35,A
ikenItem36,bpchar,RString,,,,,意見項目36,A
ikenItem37,bpchar,RString,,,,,意見項目37,A
ikenItem38,bpchar,RString,,,,,意見項目38,A
ikenItem39,bpchar,RString,,,,,意見項目39,A
ikenItem40,bpchar,RString,,,,,意見項目40,A
ikenItem41,bpchar,RString,,,,,意見項目41,A
ikenItem42,bpchar,RString,,,,,意見項目42,A
ikenItem43,bpchar,RString,,,,,意見項目43,A
ikenItem44,bpchar,RString,,,,,意見項目44,A
ikenItem45,bpchar,RString,,,,,意見項目45,A
ikenItem46,bpchar,RString,,,,,意見項目46,A
ikenItem47,bpchar,RString,,,,,意見項目47,A
ikenItem48,bpchar,RString,,,,,意見項目48,A
ikenItem49,bpchar,RString,,,,,意見項目49,A
ikenItem50,bpchar,RString,,,,,意見項目50,A
ikenItem51,bpchar,RString,,,,,意見項目51,A
ikenItem52,bpchar,RString,,,,,意見項目52,A
ikenItem53,bpchar,RString,,,,,意見項目53,A
ikenItem54,bpchar,RString,,,,,意見項目54,A
ikenItem55,bpchar,RString,,,,,意見項目55,A
ikenItem56,bpchar,RString,,,,,意見項目56,A
ikenItem57,bpchar,RString,,,,,意見項目57,A
ikenItem58,bpchar,RString,,,,,意見項目58,A
ikenItem59,bpchar,RString,,,,,意見項目59,A
ikenItem60,bpchar,RString,,,,,意見項目60,A
ikenItem61,bpchar,RString,,,,,意見項目61,A
ikenItem62,bpchar,RString,,,,,意見項目62,A
ikenItem63,bpchar,RString,,,,,意見項目63,A
ikenItem64,bpchar,RString,,,,,意見項目64,A
ikenItem65,bpchar,RString,,,,,意見項目65,A
ikenItem66,bpchar,RString,,,,,意見項目66,A
ikenItem67,bpchar,RString,,,,,意見項目67,A
ikenItem68,bpchar,RString,,,,,意見項目68,A
ikenItem69,bpchar,RString,,,,,意見項目69,A
ikenItem70,bpchar,RString,,,,,意見項目70,A
ikenItem71,bpchar,RString,,,,,意見項目71,A
ikenItem72,bpchar,RString,,,,,意見項目72,A
ikenItem73,bpchar,RString,,,,,意見項目73,A
ikenItem74,bpchar,RString,,,,,意見項目74,A
ikenItem75,bpchar,RString,,,,,意見項目75,A
ikenItem76,bpchar,RString,,,,,意見項目76,A
ikenItem77,bpchar,RString,,,,,意見項目77,A
ikenItem78,bpchar,RString,,,,,意見項目78,A
ikenItem79,bpchar,RString,,,,,意見項目79,A
ikenItem80,bpchar,RString,,,,,意見項目80,A
ikenItem81,bpchar,RString,,,,,意見項目81,A
ikenItem82,bpchar,RString,,,,,意見項目82,A
ikenItem83,bpchar,RString,,,,,意見項目83,A
ikenItem84,bpchar,RString,,,,,意見項目84,A
ikenItem85,bpchar,RString,,,,,意見項目85,A
ikenItem86,bpchar,RString,,,,,意見項目86,A
ikenItem87,bpchar,RString,,,,,意見項目87,A
ikenItem88,bpchar,RString,,,,,意見項目88,A
ikenItem89,bpchar,RString,,,,,意見項目89,A
ikenItem90,bpchar,RString,,,,,意見項目90,A
ikenItem91,bpchar,RString,,,,,意見項目91,A
ikenItem92,bpchar,RString,,,,,意見項目92,A
ikenItem93,bpchar,RString,,,,,意見項目93,A
ikenItem94,bpchar,RString,,,,,意見項目94,A
ikenItem95,bpchar,RString,,,,,意見項目95,A
ikenItem96,bpchar,RString,,,,,意見項目96,A
ikenItem97,bpchar,RString,,,,,意見項目97,A
ikenItem98,bpchar,RString,,,,,意見項目98,A
ikenItem99,bpchar,RString,,,,,意見項目99,A
ikenItem100,bpchar,RString,,,,,意見項目100,A
ikenItem101,bpchar,RString,,,,,意見項目101,A
ikenItem102,bpchar,RString,,,,,意見項目102,A
ikenItem103,bpchar,RString,,,,,意見項目103,A
ikenItem104,bpchar,RString,,,,,意見項目104,A
ikenItem105,bpchar,RString,,,,,意見項目105,A
ikenItem106,bpchar,RString,,,,,意見項目106,A
ikenItem107,bpchar,RString,,,,,意見項目107,A
ikenItem108,bpchar,RString,,,,,意見項目108,A
ikenItem109,bpchar,RString,,,,,意見項目109,A
ikenItem110,bpchar,RString,,,,,意見項目110,A
