shichosonCode,DbUDD001ShichosonCode,ShichosonCode,,,,,市町村コード,A
ninteichosaItakusakiCode,varchar,RString,,,,,認定調査委託先コード,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
jigyoshaMeisho,varchar,RString,,,,,事業者名称,A
jigyoshaMeishoKana,varchar,RString,,,,,事業者名称カナ,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jusho,varchar,RString,,,,,住所,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
faxNo,UDD026TelNo,TelNo,,,,,FAX番号,A
daihyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,代表者名,A
chosaItakuKubun,bpchar,RString,,,,,調査委託区分,A
waritsukeTeiin,int2,int,,,,,割付定員,A
waritsukeChiku,UDD011ChikuCode,ChikuCode,,,,,割付地区,A
autoWaritsukeFlag,bool,boolean,,,,,自動割付フラグ,A
kikanKubun,bpchar,RString,,,,,機関の区分,A
JokyoFlag,bool,boolean,,,,,状況フラグ,A
