hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,決定年月日,A
shikyuHushikyuKetteiKubun,varchar,RString,,,,,支給・不支給決定区分,A
shiharaiKingaku,numeric,Decimal,,,,,支払金額,A
shiharaiKingakuUchiwakeRiyoshabun,numeric,Decimal,,,,,支払金額内訳・利用者分,A
ketteiIchiranTorikomiYM,UDD014YM,FlexibleYearMonth,,,,,決定一覧取込年月,A
zenkaiShiharaiKingaku,numeric,Decimal,,,,,前回支払金額,A
sagakuKingakuGokei,numeric,Decimal,,,,,差額金額合計,A
ketteiTsuchishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,決定通知書作成年月日,A
ketteiTsuchiNo,varchar,RString,,,,,決定通知No,A
furikomiMeisaishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,振込明細書作成年月日,A
ketteiTsuchiHakkoKubun,varchar,RString,,,,,決定通知リアル発行区分,A
