shinseiYMD,UDD015YMD,FlexibleDate,,,,,shinseiYMD,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,ketteiYMD,A
tekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,tekiyoKaishiYMD,A
tekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,tekiyoShuryoYMD,A
ketteiKubun,varchar,RString,,,,,ketteiKubun,A
hiShoninRiyu,varchar,RString,,,,,hiShoninRiyu,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
kyuSochishaKubun,varchar,RString,,,,,旧措置者区分,A
shinseiRiyuKubun,varchar,RString,,,,,申請理由区分,A
riyoshaFutanDankai,varchar,RString,,,,,利用者負担段階,A
tokureiGengakuSochiKubun,bool,boolean,,,,,特例減額措置区分,A
kyokaisoGaitoshaKubun,bool,boolean,,,,,境界層該当者区分,A
gekihenkanwaSochiTaishoshaKubun,bool,boolean,,,,,激変緩和措置対象者区分,A
kyoshitsuShubetsu,varchar,RString,,,,,居室種別,A
shokuhiFutanGendogaku,numeric,Decimal,,,,,食費負担限度額,A
unitTypeKoshitsu,numeric,Decimal,,,,,ユニット型個室,A
unitTypeJunKoshitsu,numeric,Decimal,,,,,ユニット型準個室,A
juraiTypeKoshitsuTokuyo,numeric,Decimal,,,,,従来型個室（特養等）,A
juraiTypeKoshitsuRoken_Ryoyo,numeric,Decimal,,,,,従来型個室（老健・療養等）,A
tashoshitsu,numeric,Decimal,,,,,多床室,A
