nendo,UDD012YSeireki,FlexibleYear,,,,,年度,A
shorikubun,varchar,RString,,,,,処理区分,A
taishom,varchar,RString,,,,,対象月,A
kisonenkinno,varchar,RString,,,,,基礎年金番号,A
genkisonenkinno,varchar,RString,,,,,現基礎年金番号,A
nenkincode,varchar,RString,,,,,年金コード,A
hihokenshano,varchar,RString,,,,,被保険者番号,A
torokukubun,varchar,RString,,,,,登録区分,A
dtrecordkubun,varchar,RString,,,,,DTレコード区分,A
dtcitycode,varchar,RString,,,,,DT市町村コード,A
dtnenkinhokenshacode,varchar,RString,,,,,DT年金保険者コード,A
dttsuchinaiyocode,varchar,RString,,,,,DT通知内容コード,A
dtyobi1,varchar,RString,,,,,DT予備１,A
dtseidocode,varchar,RString,,,,,DT制度コード,A
dtsakuseiymd,varchar,RString,,,,,DT作成年月日,A
dtkisonenkinno,varchar,RString,,,,,DT基礎年金番号,A
dtnenkincode,varchar,RString,,,,,DT年金コード,A
dtyobi2,varchar,RString,,,,,DT予備２,A
dtbirthday,varchar,RString,,,,,DT生年月日,A
dtseibetsu,varchar,RString,,,,,DT性別,A
dtkanashimei,varchar,RString,,,,,DTカナ氏名,A
dtshiftcode1,varchar,RString,,,,,DTシフトコード１,A
dtkanjishimei,varchar,RString,,,,,DT漢字氏名,A
dtshiftcode2,varchar,RString,,,,,DTシフトコード２,A
dtyubinno,varchar,RString,,,,,DT郵便番号,A
dtkanajusho,varchar,RString,,,,,DTカナ住所,A
dtshiftcode3,varchar,RString,,,,,DTシフトコード３,A
dtkanjijusho,varchar,RString,,,,,DT漢字住所,A
dtshiftcode4,varchar,RString,,,,,DTシフトコード４,A
dttaishoy,varchar,RString,,,,,DT対象年,A
dtteiseihyoji,varchar,RString,,,,,DT訂正表示,A
dtkakushukubun,varchar,RString,,,,,DT各種区分,A
dtshorikekka,varchar,RString,,,,,DT処理結果,A
dtyobi3,varchar,RString,,,,,DT予備３,A
dtyobi4,varchar,RString,,,,,DT予備４,A
dtkingaku1,varchar,RString,,,,,DT金額１,A
dtkingakuyobi1,varchar,RString,,,,,DT金額予備１,A
dtkingakuyobi2,varchar,RString,,,,,DT金額予備２,A
dtyobi5,varchar,RString,,,,,DT予備５,A
dtkyosainenkinshoshokigono,varchar,RString,,,,,DT共済年金証書記号番号,A
