shinseishoKanriNo,varchar,ShinseishoKanriNo,,,,,A
shoKisaiHokenshaNo,varchar,shoKisaiHokenshaNo,,,,,A
hihokenshaNo,varchar,KaigoHihokenshaNo,,,,,A
youkaigodoNinteiYMD,UDD015YMD,FlexibleDate,,,,,A
youkaigoJotaiKubunCode,UDD035Code,Code,,,,,A
ninteiYukoKikan,int2,int,,,,,A
ninteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
tokuteiShippeiCode,UDD035Code,Code,,,,,A
shisetsuNyushoFlag,bool,boolean,,,,,A
shinsakaiKaisaiNo,int2,int,,,,,A
shinsakaiIken,text,RString,,,,,A
ichijiHnateiKekkaHenkoRiyu,text,RString,,,,,A
yokaigoJotaizoReiCode,UDD035Code,Code,,,,,A
ninteishinsakaiIkenShurui,bpchar,RString,,,,,A
kaigoServiceShurui,bpchar,RString,,,,,A
ninteiKekkaIdoJiyu,bpchar,RString,,,,,A
ninteiKekkaIdoYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiTorikeshiRiyu,text,RString,,,,,A
ninteiTorikeshiYMD,UDD015YMD,FlexibleDate,,,,,A
tuchiKubun,bpchar,RString,,,,,A
ninteiRiyu,text,RString,,,,,A
shinsakaiMemo,text,RString,,,,,A
