shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,A
koroshoIfShikibetsuCode,bpchar,RString,,,,,A
ninteichosaRirekiNo,int2,int,,,,,A
ck_mahiHidariJoshi,bpchar,RString,,,,,A
ck_mahiMigiJoshi,bpchar,RString,,,,,A
ck_mahiHidariKashi,bpchar,RString,,,,,A
ck_mahiMigiKashi,bpchar,RString,,,,,A
ck_mahiSonota,bpchar,RString,,,,,A
ck_koshukuKata,bpchar,RString,,,,,A
ck_koshukuHiji,bpchar,RString,,,,,A
ck_koshukuMata,bpchar,RString,,,,,A
ck_koshukuHiza,bpchar,RString,,,,,A
ck_koshukuAshi,bpchar,RString,,,,,A
ck_koshukuSonota,bpchar,RString,,,,,A
ck_negaeri,bpchar,RString,,,,,A
ck_okiagari,bpchar,RString,,,,,A
ck_zaihoji,bpchar,RString,,,,,A
ck_hisetchiZaihoji,bpchar,RString,,,,,A
ck_ryoashiRitsui,bpchar,RString,,,,,A
ck_hoko,bpchar,RString,,,,,A
ck_tachiagari,bpchar,RString,,,,,A
ck_kataashiRitsui,bpchar,RString,,,,,A
ck_yokusoDeiri,bpchar,RString,,,,,A
ck_senshin,bpchar,RString,,,,,A
ck_jokuso,bpchar,RString,,,,,A
ck_sonotaHihushikkan,bpchar,RString,,,,,A
ck_katateMunamotoage,bpchar,RString,,,,,A
ck_tumekiri,bpchar,RString,,,,,A
ck_shiryoku,bpchar,RString,,,,,A
ck_choryoku,bpchar,RString,,,,,A
ck_ijo,bpchar,RString,,,,,A
ck_ido,bpchar,RString,,,,,A
ck_enge,bpchar,RString,,,,,A
ck_shokujiSesshu,bpchar,RString,,,,,A
ck_insui,bpchar,RString,,,,,A
ck_hainyo,bpchar,RString,,,,,A
ck_haiben,bpchar,RString,,,,,A
ck_nyoi,bpchar,RString,,,,,A
ck_beni,bpchar,RString,,,,,A
ck_hainyogoShimatsu,bpchar,RString,,,,,A
ck_haibengoShimatsu,bpchar,RString,,,,,A
ck_kokoSeiketsu,bpchar,RString,,,,,A
ck_sengan,bpchar,RString,,,,,A
ck_seihatsu,bpchar,RString,,,,,A
ck_buttonKakehazushi,bpchar,RString,,,,,A
ck_joiChakudatsu,bpchar,RString,,,,,A
ck_zubonChakudatsu,bpchar,RString,,,,,A
ck_kutsushitaChakudatsu,bpchar,RString,,,,,A
ck_koshitsuSeiso,bpchar,RString,,,,,A
ck_gaishutsuHindo,bpchar,RString,,,,,A
ck_ishiDentatsu,bpchar,RString,,,,,A
ck_hanno,bpchar,RString,,,,,A
ck_nikka,bpchar,RString,,,,,A
ck_seinengappi,bpchar,RString,,,,,A
ck_tankiKioku,bpchar,RString,,,,,A
ck_namae,bpchar,RString,,,,,A
ck_kisetsu,bpchar,RString,,,,,A
ck_basho,bpchar,RString,,,,,A
ck_haikai,bpchar,RString,,,,,A
ck_gaishutsu,bpchar,RString,,,,,A
ck_higaiteki,bpchar,RString,,,,,A
ck_sakuwa,bpchar,RString,,,,,A
ck_genshiGencho,bpchar,RString,,,,,A
ck_kanjoHuantei,bpchar,RString,,,,,A
ck_chuyaGyakuten,bpchar,RString,,,,,A
ck_bogenBoko,bpchar,RString,,,,,A
ck_onajiHanashi,bpchar,RString,,,,,A
ck_ogoe,bpchar,RString,,,,,A
ck_kaigoNiTeiko,bpchar,RString,,,,,A
ck_ochitsuki,bpchar,RString,,,,,A
ck_hitoriDeDetagaru,bpchar,RString,,,,,A
ck_shushuheki,bpchar,RString,,,,,A
ck_hiNoHushimatsu,bpchar,RString,,,,,A
ck_monoYaIruiWoKowasu,bpchar,RString,,,,,A
ck_huketsuKoi,bpchar,RString,,,,,A
ck_ishokuKodo,bpchar,RString,,,,,A
ck_hidoiMonowasure,bpchar,RString,,,,,A
ck_seitekiMeiwakuKoi,bpchar,RString,,,,,A
ck_hitorigotoHitoriwarai,bpchar,RString,,,,,A
ck_jibunKatte,bpchar,RString,,,,,A
ck_hanashiGaMatomaranai,bpchar,RString,,,,,A
ck_kusuri,bpchar,RString,,,,,A
ck_kinsenKanri,bpchar,RString,,,,,A
ck_ishiKettei,bpchar,RString,,,,,A
ck_mukanshin,bpchar,RString,,,,,A
ck_shudanHutekio,bpchar,RString,,,,,A
ck_denwa,bpchar,RString,,,,,A
ck_kaimono,bpchar,RString,,,,,A
ck_chori,bpchar,RString,,,,,A
ck_tenteki,bpchar,RString,,,,,A
ck_chushinJomyakuEiyo,bpchar,RString,,,,,A
ck_toseki,bpchar,RString,,,,,A
ck_stomaShochi,bpchar,RString,,,,,A
ck_sansoRyoho,bpchar,RString,,,,,A
ck_respirator,bpchar,RString,,,,,A
ck_kikanSekkai,bpchar,RString,,,,,A
ck_totsuKango,bpchar,RString,,,,,A
ck_keikanEiyo,bpchar,RString,,,,,A
ck_monitorSokutei,bpchar,RString,,,,,A
ck_jokusoShochi,bpchar,RString,,,,,A
ck_catheter,bpchar,RString,,,,,A
ck_nitchuNoSeikatsuNiTsuite,bpchar,RString,,,,,A
ck_gaishutsuHindoNiTsuite,bpchar,RString,,,,,A
ck_jokyoHenka,bpchar,RString,,,,,A
ninchishoNichijoSeikatsuJiritsudoCode,UDD035Code,Code,,,,,A
shogaiNichijoSeikatsuJiritsudoCode,UDD035Code,Code,,,,,A
