shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,A
koroshoIfShikibetsuCode,bpchar,RString,,,,,A
kariIchijiHanteiKubun,bool,boolean,,,,,A
ichijiHanteiYMD,UDD015YMD,FlexibleDate,,,,,A
ichijiHanteiKekkaCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.一次判定用要介護状態区分,,,A
ichijiHanteiKekkaNinchishoKasanCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.一次判定用要介護状態区分,,,A
kijunJikan,int2,int,,,,,A
kijunJikanShokuji,int2,int,,,,,A
kijunJikanHaisetsu,int2,int,,,,,A
kijunJikanIdo,int2,int,,,,,A
kijunJikanSeiketsuHoji,int2,int,,,,,A
kijunJikanKansetsuCare,int2,int,,,,,A
kijunJikanBPSDKanren,int2,int,,,,,A
kijunJikanKinoKunren,int2,int,,,,,A
kijunJikanIryoKanren,int2,int,,,,,A
kijunJikanNinchishoKasan,int2,int,,,,,A
chukanHyokaKomoku1gun,int2,int,,,,,A
chukanHyokaKomoku2gun,int2,int,,,,,A
chukanHyokaKomoku3gun,int2,int,,,,,A
chukanHyokaKomoku4gun,int2,int,,,,,A
chukanHyokaKomoku5gun,int2,int,,,,,A
chukanHyokaKomoku6gun,int2,int,,,,,A
chukanHyokaKomoku7gun,int2,int,,,,,A
ichijiHnateiKeikokuCode,UDD035Code,RString,,,,,A
jotaiAnteiseiCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.状態の安定性,,,A
ninchishoJiritsudoIIijoNoGaizensei,numeric,Decimal,,,,,A
suiteiKyufuKubunCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.認知機能及び状態安定性から推定される給付区分,,,A
ninchishoKoreishaShihyoCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.運動能力の低下していない認知症高齢者の指標,,,A
jiiritsudoKumiawase1,int2,int,,,,,A
jiiritsudoKumiawase2,int2,int,,,,,A
jiiritsudoKumiawase3,int2,int,,,,,A
jiiritsudoKumiawase4,int2,int,,,,,A
jiiritsudoKumiawase5,int2,int,,,,,A
jiiritsudoKumiawase6,int2,int,,,,,A
jiiritsudoKumiawase7,int2,int,,,,,A
gaizenseiHyokaCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.認知症高齢者の日常生活自立度の蓋然性評価,,,A
gaizenseiHyokaPercent,int2,int,,,,,A
ichijiHanteiSofuKubun,bpchar,RString,,,,,A
ichijiHanteiKekkaSofuYMD,UDD015YMD,FlexibleDate,,,,,A
