shinsakaiIinCode,varchar,RString,,,,,A
shinsakaiIinKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shinsakaiIinShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shinsakaiIinJokyo,bool,boolean,,,,,A
jigyoshaKubun,bpchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
shinsakaiIinShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
ShinsakaiIinKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
seibetsu,bpchar,RString,,,,,A
shinsakaiIinShikakuCode,UDD035Code,Code,SubGyomuCode.DBE認定支援,DbeShubetsuKey.資格,,,A
shinsainYusoKubun,bpchar,RString,,,,,A
yubinNo,UDD003YubinNo,YubinNo,,,,,A
Jusho,UDD046AtenaJusho,AtenaJusho,,,,,A
telNo,UDD026TelNo,TelNo,,,,,A
kinyuKikanCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,A
kinyuKikanShitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,A
KozaShubetsu,bpchar,RString,,,,,A
KozaMeigi,varchar,RString,,,,,A
KozaMeigiKana,varchar,RString,,,,,A
KozaNo,varchar,RString,,,,,A
