gogitaiNo,int2,int,,,,,合議体番号,A
shinsakaiIinCode,varchar,RString,,,,,介護認定審査会委員コード,A
shinsakaiIinShozokuKikanCode,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,介護認定審査会委員所属機関コード,A
shinsakaiKaisaiNo,int2,int,,,,,介護認定審査会開催番号,A
shinsakaiKaisaiYMD,UDD015YMD,FlexibleDate,,,,,介護認定審査会開催年月日,A
shinsakaiKaishiTime,varchar,RString,,,,,介護認定審査会開始時間,A
shinsakaiShuryoTime,varchar,RString,,,,,介護認定審査会終了時間,A
isShusseki,bool,boolean,,,,,委員出席,A
shussekiTime,varchar,RString,,,,,委員出席時間,A
taisekiTime,varchar,RString,,,,,委員退席時間,A
gogitaichoKubunCode,UDD035Code,Code,,,,,合議体長区分コード,A
shinsakaiHoshuZeiritsu,int2,int,,,,,介護認定審査会報酬税率,A
shinsakaiHoshu,int4,int,,,,,介護認定審査報酬,A
shinsakaiSonotaHoshu,int4,int,,,,,介護認定審査その他報酬,A
shinsakaiKotsuhi,int4,int,,,,,介護認定審査交通費等,A
shinsakaiKojoZeigaku,int4,int,,,,,介護認定審査控除税額,A
shinsakaiHoshuGokei,int4,int,,,,,介護認定審査報酬合計,A
hoshuShiharaiYMD,UDD015YMD,FlexibleDate,,,,,介護認定審査報酬支払年月日,A
hoshushiharaiMemo,text,RString,,,,,介護認定審査報酬支払メモ,A
isGinkoFurikomiShutsuryokuZumi,bool,boolean,,,,,銀行振込出力済フラグ,A
