shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaIraiRirekiNo,int2,int,,,,,認定調査依頼履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
ninteichosaItakusakiCode,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,認定調査委託先コード,A
ninteiChousainCode,varchar,RString,,,,,認定調査員コード,A
ninteichousaIraiKubunCode,UDD035Code,Code,,,,,認定調査依頼区分コード,A
ninteichosaIraiKaisu,int2,int,,,,,認定調査回数,A
ninteichosaIraiYMD,UDD015YMD,FlexibleDate,,,,,認定調査依頼年月日,A
ninteichosaKigenYMD,UDD015YMD,FlexibleDate,,,,,認定調査期限年月日,A
iraishoShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,依頼書出力年月日,A
chosahyoTouShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,調査票等出力年月日,A
mobileDataShutsuryokuZumiFlag,bool,boolean,,,,,モバイルデータ出力済フラグ,A
jizenChosaFlag,bool,boolean,,,,,事前調査フラグ,A
ninteichosaTokusokuYMD,UDD015YMD,FlexibleDate,,,,,認定調査督促年月日,A
ninteichosaTokusokuHoho,bpchar,RString,,,,,認定調査督促方法,A
ninteichosaTokusokuKaisu,int2,int,,,,,認定調査督促回数,A
ninteichosaTokusokuMemo,text,RString,,,,,認定調査督促メモ,A
logicalDeletedFlag,bool,boolean,,,,,論理削除フラグ,A
