shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaRirekiNo,int2,int,,,,,要介護認定調査履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
reserchItem01,bpchar,RString,,,,,調査項目01,A
reserchItem02,bpchar,RString,,,,,調査項目02,A
reserchItem03,bpchar,RString,,,,,調査項目03,A
reserchItem04,bpchar,RString,,,,,調査項目04,A
reserchItem05,bpchar,RString,,,,,調査項目05,A
reserchItem06,bpchar,RString,,,,,調査項目06,A
reserchItem07,bpchar,RString,,,,,調査項目07,A
reserchItem08,bpchar,RString,,,,,調査項目08,A
reserchItem09,bpchar,RString,,,,,調査項目09,A
reserchItem10,bpchar,RString,,,,,調査項目10,A
reserchItem11,bpchar,RString,,,,,調査項目11,A
reserchItem12,bpchar,RString,,,,,調査項目12,A
reserchItem13,bpchar,RString,,,,,調査項目13,A
reserchItem14,bpchar,RString,,,,,調査項目14,A
reserchItem15,bpchar,RString,,,,,調査項目15,A
reserchItem16,bpchar,RString,,,,,調査項目16,A
reserchItem17,bpchar,RString,,,,,調査項目17,A
reserchItem18,bpchar,RString,,,,,調査項目18,A
reserchItem19,bpchar,RString,,,,,調査項目19,A
reserchItem20,bpchar,RString,,,,,調査項目20,A
reserchItem21,bpchar,RString,,,,,調査項目21,A
reserchItem22,bpchar,RString,,,,,調査項目22,A
reserchItem23,bpchar,RString,,,,,調査項目23,A
reserchItem24,bpchar,RString,,,,,調査項目24,A
reserchItem25,bpchar,RString,,,,,調査項目25,A
reserchItem26,bpchar,RString,,,,,調査項目26,A
reserchItem27,bpchar,RString,,,,,調査項目27,A
reserchItem28,bpchar,RString,,,,,調査項目28,A
reserchItem29,bpchar,RString,,,,,調査項目29,A
reserchItem30,bpchar,RString,,,,,調査項目30,A
reserchItem31,bpchar,RString,,,,,調査項目31,A
reserchItem32,bpchar,RString,,,,,調査項目32,A
reserchItem33,bpchar,RString,,,,,調査項目33,A
reserchItem34,bpchar,RString,,,,,調査項目34,A
reserchItem35,bpchar,RString,,,,,調査項目35,A
reserchItem36,bpchar,RString,,,,,調査項目36,A
reserchItem37,bpchar,RString,,,,,調査項目37,A
reserchItem38,bpchar,RString,,,,,調査項目38,A
reserchItem39,bpchar,RString,,,,,調査項目39,A
reserchItem40,bpchar,RString,,,,,調査項目40,A
reserchItem41,bpchar,RString,,,,,調査項目41,A
reserchItem42,bpchar,RString,,,,,調査項目42,A
reserchItem43,bpchar,RString,,,,,調査項目43,A
reserchItem44,bpchar,RString,,,,,調査項目44,A
reserchItem45,bpchar,RString,,,,,調査項目45,A
reserchItem46,bpchar,RString,,,,,調査項目46,A
reserchItem47,bpchar,RString,,,,,調査項目47,A
reserchItem48,bpchar,RString,,,,,調査項目48,A
reserchItem49,bpchar,RString,,,,,調査項目49,A
reserchItem50,bpchar,RString,,,,,調査項目50,A
reserchItem51,bpchar,RString,,,,,調査項目51,A
reserchItem52,bpchar,RString,,,,,調査項目52,A
reserchItem53,bpchar,RString,,,,,調査項目53,A
reserchItem54,bpchar,RString,,,,,調査項目54,A
reserchItem55,bpchar,RString,,,,,調査項目55,A
reserchItem56,bpchar,RString,,,,,調査項目56,A
reserchItem57,bpchar,RString,,,,,調査項目57,A
reserchItem58,bpchar,RString,,,,,調査項目58,A
reserchItem59,bpchar,RString,,,,,調査項目59,A
