shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaRirekiNo,int2,int,,,,,要介護認定調査履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
reserchItem01,int2,int,,,,,素点項目01,A
reserchItem02,int2,int,,,,,素点項目02,A
reserchItem03,int2,int,,,,,素点項目03,A
reserchItem04,int2,int,,,,,素点項目04,A
reserchItem05,int2,int,,,,,素点項目05,A
reserchItem06,int2,int,,,,,素点項目06,A
reserchItem07,int2,int,,,,,素点項目07,A
reserchItem08,int2,int,,,,,素点項目08,A
reserchItem09,int2,int,,,,,素点項目09,A
reserchItem10,int2,int,,,,,素点項目10,A
reserchItem11,int2,int,,,,,素点項目11,A
reserchItem12,int2,int,,,,,素点項目12,A
reserchItem13,int2,int,,,,,素点項目13,A
reserchItem14,int2,int,,,,,素点項目14,A
reserchItem15,int2,int,,,,,素点項目15,A
reserchItem16,int2,int,,,,,素点項目16,A
reserchItem17,int2,int,,,,,素点項目17,A
reserchItem18,int2,int,,,,,素点項目18,A
reserchItem19,int2,int,,,,,素点項目19,A
reserchItem20,int2,int,,,,,素点項目20,A
reserchItem21,int2,int,,,,,素点項目21,A
reserchItem22,int2,int,,,,,素点項目22,A
reserchItem23,int2,int,,,,,素点項目23,A
reserchItem24,int2,int,,,,,素点項目24,A
reserchItem25,int2,int,,,,,素点項目25,A
reserchItem26,int2,int,,,,,素点項目26,A
reserchItem27,int2,int,,,,,素点項目27,A
reserchItem28,int2,int,,,,,素点項目28,A
reserchItem29,int2,int,,,,,素点項目29,A
reserchItem30,int2,int,,,,,素点項目30,A
reserchItem31,int2,int,,,,,素点項目31,A
reserchItem32,int2,int,,,,,素点項目32,A
reserchItem33,int2,int,,,,,素点項目33,A
reserchItem34,int2,int,,,,,素点項目34,A
reserchItem35,int2,int,,,,,素点項目35,A
reserchItem36,int2,int,,,,,素点項目36,A
reserchItem37,int2,int,,,,,素点項目37,A
reserchItem38,int2,int,,,,,素点項目38,A
reserchItem39,int2,int,,,,,素点項目39,A
reserchItem40,int2,int,,,,,素点項目40,A
reserchItem41,int2,int,,,,,素点項目41,A
reserchItem42,int2,int,,,,,素点項目42,A
reserchItem43,int2,int,,,,,素点項目43,A
reserchItem44,int2,int,,,,,素点項目44,A
reserchItem45,int2,int,,,,,素点項目45,A
reserchItem46,int2,int,,,,,素点項目46,A
reserchItem47,int2,int,,,,,素点項目47,A
reserchItem48,int2,int,,,,,素点項目48,A
reserchItem49,int2,int,,,,,素点項目49,A
reserchItem50,int2,int,,,,,素点項目50,A
reserchItem51,int2,int,,,,,素点項目51,A
reserchItem52,int2,int,,,,,素点項目52,A
reserchItem53,int2,int,,,,,素点項目53,A
reserchItem54,int2,int,,,,,素点項目54,A
reserchItem55,int2,int,,,,,素点項目55,A
reserchItem56,int2,int,,,,,素点項目56,A
reserchItem57,int2,int,,,,,素点項目57,A
reserchItem58,int2,int,,,,,素点項目58,A
reserchItem59,int2,int,,,,,素点項目59,A
reserchItem60,int2,int,,,,,素点項目60,A
reserchItem61,int2,int,,,,,素点項目61,A
reserchItem62,int2,int,,,,,素点項目62,A
reserchItem63,int2,int,,,,,素点項目63,A
reserchItem64,int2,int,,,,,素点項目64,A
reserchItem65,int2,int,,,,,素点項目65,A
reserchItem66,int2,int,,,,,素点項目66,A
reserchItem67,int2,int,,,,,素点項目67,A
reserchItem68,int2,int,,,,,素点項目68,A
reserchItem69,int2,int,,,,,素点項目69,A
reserchItem70,int2,int,,,,,素点項目70,A
reserchItem71,int2,int,,,,,素点項目71,A
reserchItem72,int2,int,,,,,素点項目72,A
reserchItem73,int2,int,,,,,素点項目73,A
reserchItem74,int2,int,,,,,素点項目74,A
reserchItem75,int2,int,,,,,素点項目75,A
reserchItem76,int2,int,,,,,素点項目76,A
reserchItem77,int2,int,,,,,素点項目77,A
reserchItem78,int2,int,,,,,素点項目78,A
reserchItem79,int2,int,,,,,素点項目79,A
reserchItem80,int2,int,,,,,素点項目80,A
reserchItem81,int2,int,,,,,素点項目81,A
reserchItem82,int2,int,,,,,素点項目82,A
reserchItem83,int2,int,,,,,素点項目83,A
reserchItem84,int2,int,,,,,素点項目84,A
reserchItem85,int2,int,,,,,素点項目85,A
reserchItem86,int2,int,,,,,素点項目86,A
reserchItem87,int2,int,,,,,素点項目87,A
reserchItem88,int2,int,,,,,素点項目88,A
reserchItem89,int2,int,,,,,素点項目89,A
reserchItem90,int2,int,,,,,素点項目90,A
reserchItem91,int2,int,,,,,素点項目91,A
reserchItem92,int2,int,,,,,素点項目92,A
reserchItem93,int2,int,,,,,素点項目93,A
reserchItem94,int2,int,,,,,素点項目94,A
reserchItem95,int2,int,,,,,素点項目95,A
reserchItem96,int2,int,,,,,素点項目96,A
reserchItem97,int2,int,,,,,素点項目97,A
reserchItem98,int2,int,,,,,素点項目98,A
tokutenTotal1gun,int2,int,,,,,素点合計　第１郡,A
tokutenTotal2gun,int2,int,,,,,素点合計　第２郡,A
tokutenTotal3gun,int2,int,,,,,素点合計　第３郡,A
tokutenTotal4gun,int2,int,,,,,素点合計　第４郡,A
tokutenTotal5gun,int2,int,,,,,素点合計　第５郡,A
tokutenTotal6gun,int2,int,,,,,素点合計　第６郡,A
tokutenTotal7gun,int2,int,,,,,素点合計　第７郡,A
