shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaRirekiNo,int2,int,,,,,認定調査依頼履歴番号,A
shuso,text,RString,,,,,概況特記事項（主訴）,A
shusoImageSharedFileId,timestamp,RDateTime,,,,,概況特記（主訴）イメージ共有ファイルID,A
shusoMaskingImageSharedFileId,timestamp,RDateTime,,,,,概況特記（主訴）マスキングイメージ共有ファイルID,A
kazokuJokyo,text,RString,,,,,概況特記事項（家族状況）,A
kazokuJokyoImageSharedFileId,timestamp,RDateTime,,,,,概況特記（家族状況）イメージ共有ファイルID,A
kazokuJokyoMaskingImageSharedFileId,timestamp,RDateTime,,,,,概況特記（家族状況）マスキングイメージ共有ファイルID,A
kyojuKankyo,text,RString,,,,,概況特記事項（居住環境）,A
kyojuKankyoImageSharedFileId,timestamp,RDateTime,,,,,概況特記（居住環境）イメージ共有ファイルID,A
kyojuKankyoMaskingImageSharedFileId,timestamp,RDateTime,,,,,概況特記（居住環境）マスキングイメージ共有ファイルID,A
kikaiKiki,text,RString,,,,,概況特記事項（機器・器械）,A
kikaiKikiImageSharedFileId,timestamp,RDateTime,,,,,概況特記（機器・器械）イメージ共有ファイルID,A
kikaiKikiMaskingImageSharedFileId,timestamp,RDateTime,,,,,概況特記（機器・器械）マスキングイメージ共有ファイルID,A
