shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
sonotaKikanCode,varchar,RString,,,,,その他機関コード,A
kikanMeisho,varchar,RString,,,,,機関名称,A
kikanMeishoKana,varchar,RString,,,,,機関名称カナ,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jusho,varchar,RString,,,,,住所,A
jushoKana,varchar,RString,,,,,住所カナ,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
chosaItakuKubun,bpchar,RString,,,,,調査委託区分,A
waritsukeTeiin,int2,int,,,,,割付定員,A
waritsukeChiku,UDD011ChikuCode,ChikuCode,,,,,割付地区,A
kikanKubun,bpchar,RString,,,,,機関の区分,A
haishiFlag,bool,boolean,,,,,廃止フラグ,A
